,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-1144000.0,-600000.0,-289000.0
Total Unusual Items,0.0,-264000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-264000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-1170000.0,-1063000.0,-289000.0
Reconciled Depreciation,22000.0,199000.0,0.0
EBITDA,-1144000.0,-864000.0,-289000.0
EBIT,-1166000.0,-1063000.0,-289000.0
Net Interest Income,-4000.0,0.0,
Interest Expense,4000.0,0.0,
Normalized Income,-1170000.0,-799000.0,-289000.0
Net Income From Continuing And Discontinued Operation,-1170000.0,-1063000.0,-289000.0
Total Expenses,1164000.0,799000.0,289000.0
Diluted Average Shares,254347826.0,135240835.0,13937576.0
Basic Average Shares,254347826.0,135240835.0,13937576.0
Diluted EPS,-0.0046,-0.0079,-0.020735
Basic EPS,-0.0046,-0.0079,-0.020735
Diluted NI Availto Com Stockholders,-1170000.0,-1063000.0,-289000.0
Net Income Common Stockholders,-1170000.0,-1063000.0,-289000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-1170000.0,-1063000.0,-289000.0
Net Income Including Noncontrolling Interests,-1170000.0,-1063000.0,-289000.0
Net Income Continuous Operations,-1170000.0,-1063000.0,-289000.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-1170000.0,-1063000.0,-289000.0
Special Income Charges,0.0,-264000.0,0.0
Write Off,0.0,264000.0,0.0
Net Non Operating Interest Income Expense,-4000.0,0.0,
Interest Expense Non Operating,4000.0,0.0,
Operating Income,-1164000.0,-799000.0,-289000.0
Operating Expense,1164000.0,799000.0,289000.0
Other Operating Expenses,272000.0,74000.0,32000.0
Depreciation And Amortization In Income Statement,22000.0,199000.0,
Amortization,22000.0,199000.0,
Depreciation Income Statement,0.0,0.0,
Selling General And Administration,316000.0,270000.0,180000.0
General And Administrative Expense,316000.0,270000.0,180000.0
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
