Metric,Value
address1,107 Cheapside
address2,9th Floor
city,London
zip,EC2V 6DN
country,United Kingdom
phone,44 7 4636 86497
website,https://www.gemresources.co.uk
industry,Other Precious Metals & Mining
industryKey,other-precious-metals-mining
industryDisp,Other Precious Metals & Mining
sector,Basic Materials
sectorKey,basic-materials
sectorDisp,Basic Materials
longBusinessSummary,"Gem Resources Plc operates as a mining and mineral exploration company in South Africa, Australia, and Zambia. The company primarily explores for emeralds, graphite, coltan, lithium, niobium, tantalum, and rare earth elements. It also holds interests in the Gravelotte Emerald Mine project located in South Africa; and the Curlew Emerald mine in South Africa. The company was formerly known as URA Holdings Plc and changed its name to Gem Resources Plc in September2024. Gem Resources Plc was incorporated in 2005 and is headquartered in London, the United Kingdom."
fullTimeEmployees,33
companyOfficers,"[{'maxAge': 1, 'name': 'Dr. Bernard  Olivier BSc (Hons)', 'age': 48, 'title': 'CEO & Director', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeremy Edward Sturgess-Smith', 'age': 29, 'title': 'Chief Operations Officer', 'yearBorn': 1995, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter  Redmond', 'age': 78, 'title': 'Executive Director', 'yearBorn': 1946, 'exercisedValue': 0, 'unexercisedValue': 0}]"
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.2
open,0.192
dayLow,0.192
dayHigh,0.192
regularMarketPreviousClose,0.2
regularMarketOpen,0.192
regularMarketDayLow,0.192
regularMarketDayHigh,0.192
payoutRatio,0.0
beta,0.117
volume,1420242
regularMarketVolume,1420242
averageVolume,2756557
averageVolume10days,10171585
averageDailyVolume10Day,10171585
bid,0.15
ask,0.25
marketCap,617315
fiftyTwoWeekLow,0.13
fiftyTwoWeekHigh,1.89
fiftyDayAverage,0.1841
twoHundredDayAverage,0.536895
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,408771
profitMargins,0.0
floatShares,189830181
sharesOutstanding,308657984
heldPercentInsiders,0.38933
heldPercentInstitutions,0.09809
impliedSharesOutstanding,462987008
bookValue,0.003
priceToBook,66.666664
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
netIncomeToCommon,-1822000
trailingEps,-0.01
enterpriseToEbitda,-0.374
52WeekChange,-0.84000003
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.2
recommendationKey,none
totalCash,414000
totalCashPerShare,0.001
ebitda,-1092000
totalDebt,29000
quickRatio,0.972
currentRatio,1.074
debtToEquity,4.296
returnOnAssets,-0.34497002
returnOnEquity,-1.5401601
freeCashflow,-261000
operatingCashflow,-550000
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,0.0
financialCurrency,GBP
symbol,GEMR.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
exchange,LSE
messageBoardId,finmb_20701235
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
corporateActions,[]
regularMarketTime,1751640789
marketState,CLOSED
regularMarketChangePercent,0.0
regularMarketPrice,0.2
regularMarketChange,0.0
regularMarketDayRange,0.192 - 0.192
fullExchangeName,LSE
averageDailyVolume3Month,2756557
fiftyTwoWeekLowChange,0.07000001
fiftyTwoWeekLowChangePercent,0.5384616
fiftyTwoWeekRange,0.13 - 1.89
fiftyTwoWeekHighChange,-1.6899999
fiftyTwoWeekHighChangePercent,-0.8941799
fiftyTwoWeekChangePercent,-84.0
shortName,GEM RESOURCES PLC ORD 0.01P
longName,Gem Resources Plc
epsTrailingTwelveMonths,-0.01
fiftyDayAverageChange,0.0159
fiftyDayAverageChangePercent,0.08636611
twoHundredDayAverageChange,-0.336895
twoHundredDayAverageChangePercent,-0.6274877
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,1646208000000
trailingPegRatio,
