,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,36250.0,36250.0,36250.0,36250.0
Share Issued,36250.0,36250.0,36250.0,36250.0
Net Debt,14985000.0,,,
Total Debt,15931000.0,,,
Tangible Book Value,11744000.0,9167000.0,14319000.0,12717000.0
Invested Capital,27675000.0,9167000.0,14319000.0,12717000.0
Working Capital,-2041000.0,-691000.0,3763000.0,1119000.0
Net Tangible Assets,11746000.0,9169000.0,14321000.0,12717000.0
Common Stock Equity,11744000.0,9167000.0,14319000.0,12717000.0
Preferred Stock Equity,2000.0,2000.0,2000.0,
Total Capitalization,25464000.0,9169000.0,14321000.0,12717000.0
Total Equity Gross Minority Interest,11746000.0,9169000.0,14321000.0,12717000.0
Stockholders Equity,11746000.0,9169000.0,14321000.0,12717000.0
Retained Earnings,128000.0,577000.0,2729000.0,2152000.0
Additional Paid In Capital,11616000.0,8590000.0,11590000.0,10565000.0
Capital Stock,2000.0,2000.0,2000.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Preferred Stock,2000.0,2000.0,2000.0,
Total Liabilities Net Minority Interest,17049000.0,3713000.0,276000.0,1853000.0
Total Non Current Liabilities Net Minority Interest,13718000.0,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,13718000.0,,,
Long Term Debt,13718000.0,,,
Current Liabilities,3331000.0,3713000.0,276000.0,1853000.0
Current Deferred Liabilities,135000.0,247000.0,0.0,209000.0
Current Deferred Revenue,135000.0,247000.0,0.0,209000.0
Current Debt And Capital Lease Obligation,2213000.0,,,
Current Debt,2213000.0,,,
Other Current Borrowings,2213000.0,,,
Payables And Accrued Expenses,983000.0,3466000.0,276000.0,1644000.0
Current Accrued Expenses,416000.0,372000.0,97000.0,288000.0
Payables,567000.0,3094000.0,179000.0,1356000.0
Dueto Related Parties Current,173000.0,9000.0,0.0,
Dividends Payable,0.0,3000000.0,0.0,
Accounts Payable,394000.0,85000.0,179000.0,1356000.0
Total Assets,28795000.0,12882000.0,14597000.0,14570000.0
Total Non Current Assets,27505000.0,9860000.0,10558000.0,11598000.0
Other Non Current Assets,500000.0,,,
Non Current Deferred Assets,907000.0,657000.0,697000.0,1057000.0
Net PPE,26098000.0,9203000.0,9861000.0,10541000.0
Accumulated Depreciation,-3015000.0,-1885000.0,-1205000.0,-525000.0
Gross PPE,29113000.0,11088000.0,11066000.0,11066000.0
Construction In Progress,0.0,22000.0,0.0,
Current Assets,1290000.0,3022000.0,4039000.0,2972000.0
Other Current Assets,39000.0,13000.0,25000.0,42000.0
Prepaid Assets,172000.0,43000.0,44000.0,57000.0
Inventory,133000.0,57000.0,134000.0,55000.0
Receivables,0.0,207000.0,285000.0,393000.0
Duefrom Related Parties Current,0.0,207000.0,168000.0,350000.0
Accounts Receivable,,0.0,117000.0,43000.0
Cash Cash Equivalents And Short Term Investments,946000.0,2702000.0,3551000.0,2425000.0
Cash And Cash Equivalents,946000.0,2702000.0,3551000.0,2425000.0
