,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-17161000.0,2483000.0,3764000.0,3590000.0
Repurchase Of Capital Stock,-3000000.0,-700000.0,0.0,-1200000.0
Repayment Of Debt,-300000.0,0.0,0.0,
Issuance Of Debt,16500000.0,0.0,0.0,
Issuance Of Capital Stock,4565000.0,700000.0,0.0,1200000.0
Capital Expenditure,-18025000.0,-22000.0,-225000.0,-491000.0
Interest Paid Supplemental Data,407000.0,0.0,0.0,
End Cash Position,1446000.0,2702000.0,3551000.0,2425000.0
Beginning Cash Position,2702000.0,3551000.0,2425000.0,0.0
Changes In Cash,-1256000.0,-849000.0,1126000.0,2425000.0
Financing Cash Flow,15905000.0,-3332000.0,-2638000.0,-1165000.0
Cash Flow From Continuing Financing Activities,15905000.0,-3332000.0,-2638000.0,-1165000.0
Net Other Financing Charges,-1621000.0,-25000.0,,
Cash Dividends Paid,-239000.0,-3307000.0,-2638000.0,-1165000.0
Net Common Stock Issuance,1565000.0,0.0,0.0,0.0
Common Stock Payments,-3000000.0,-700000.0,0.0,-1200000.0
Common Stock Issuance,4565000.0,700000.0,0.0,1200000.0
Net Issuance Payments Of Debt,16200000.0,0.0,0.0,
Net Long Term Debt Issuance,16200000.0,0.0,0.0,
Long Term Debt Payments,-300000.0,0.0,0.0,
Long Term Debt Issuance,16500000.0,0.0,0.0,
Investing Cash Flow,-18025000.0,-22000.0,-225000.0,-491000.0
Cash Flow From Continuing Investing Activities,-18025000.0,-22000.0,-225000.0,-491000.0
Net PPE Purchase And Sale,-18025000.0,-22000.0,-225000.0,-491000.0
Purchase Of PPE,-18025000.0,-22000.0,-225000.0,-491000.0
Operating Cash Flow,864000.0,2505000.0,3989000.0,4081000.0
Cash Flow From Continuing Operating Activities,864000.0,2505000.0,3989000.0,4081000.0
Change In Working Capital,307000.0,313000.0,-837000.0,840000.0
Change In Other Working Capital,-112000.0,247000.0,-209000.0,209000.0
Change In Other Current Assets,-26000.0,12000.0,17000.0,-42000.0
Change In Payables And Accrued Expense,443000.0,-102000.0,-687000.0,963000.0
Change In Accrued Expense,179000.0,-17000.0,-79000.0,176000.0
Change In Payable,264000.0,-85000.0,-608000.0,787000.0
Change In Account Payable,100000.0,-94000.0,-608000.0,787000.0
Change In Prepaid Assets,-129000.0,1000.0,13000.0,-57000.0
Change In Inventory,-76000.0,77000.0,-79000.0,-55000.0
Change In Receivables,207000.0,78000.0,108000.0,-178000.0
Changes In Account Receivables,0.0,117000.0,-74000.0,-43000.0
Other Non Cash Items,-875000.0,,-456000.0,-617000.0
Depreciation Amortization Depletion,1642000.0,1037000.0,1040000.0,541000.0
Depreciation And Amortization,1642000.0,1037000.0,1040000.0,541000.0
Amortization Cash Flow,512000.0,357000.0,360000.0,16000.0
Amortization Of Intangibles,512000.0,357000.0,360000.0,16000.0
Depreciation,1130000.0,680000.0,680000.0,525000.0
Net Income From Continuing Operations,-210000.0,1155000.0,4242000.0,3317000.0
