,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.22,0.22,0.24
Normalized EBITDA,1884000.0,2195000.0,5285000.0,3860000.0
Net Income From Continuing Operation Net Minority Interest,-210000.0,1155000.0,4242000.0,3317000.0
Reconciled Depreciation,1642000.0,1037000.0,1040000.0,541000.0
Reconciled Cost Of Revenue,3842000.0,2722000.0,2736000.0,2501000.0
EBITDA,1884000.0,2195000.0,5285000.0,3860000.0
EBIT,242000.0,1158000.0,4245000.0,3319000.0
Net Interest Income,-380000.0,53000.0,10000.0,2000.0
Interest Expense,452000.0,3000.0,3000.0,2000.0
Interest Income,72000.0,56000.0,13000.0,4000.0
Normalized Income,-210000.0,1155000.0,4242000.0,3317000.0
Net Income From Continuing And Discontinued Operation,-210000.0,1155000.0,4242000.0,3317000.0
Total Expenses,4627000.0,3014000.0,2663000.0,2635000.0
Total Operating Income As Reported,170000.0,1105000.0,4218000.0,3310000.0
Diluted Average Shares,19515.0,36250.0,30760.0,30760.0
Basic Average Shares,19515.0,36250.0,30760.0,30760.0
Diluted EPS,-60.83,31.862069,137.906372,107.83485
Basic EPS,-60.83,31.862069,137.906372,107.83485
Diluted NI Availto Com Stockholders,-1187000.0,1155000.0,4242000.0,3317000.0
Net Income Common Stockholders,-1187000.0,1155000.0,4242000.0,3317000.0
Preferred Stock Dividends,977000.0,,,
Net Income,-210000.0,1155000.0,4242000.0,3317000.0
Net Income Including Noncontrolling Interests,-210000.0,1155000.0,4242000.0,3317000.0
Net Income Continuous Operations,-210000.0,1155000.0,4242000.0,3317000.0
Pretax Income,-210000.0,1155000.0,4242000.0,3317000.0
Other Income Expense,-512000.0,-360000.0,-346000.0,-11000.0
Other Non Operating Income Expenses,-512000.0,-360000.0,-346000.0,-11000.0
Net Non Operating Interest Income Expense,-380000.0,53000.0,10000.0,2000.0
Interest Expense Non Operating,452000.0,3000.0,3000.0,2000.0
Interest Income Non Operating,72000.0,56000.0,13000.0,4000.0
Operating Income,682000.0,1462000.0,4578000.0,3326000.0
Operating Expense,785000.0,292000.0,-73000.0,134000.0
Other Operating Expenses,440000.0,274000.0,-85000.0,123000.0
Selling General And Administration,345000.0,18000.0,12000.0,11000.0
General And Administrative Expense,345000.0,18000.0,12000.0,11000.0
Other Gand A,345000.0,18000.0,12000.0,11000.0
Gross Profit,1467000.0,1754000.0,4505000.0,3460000.0
Cost Of Revenue,3842000.0,2722000.0,2736000.0,2501000.0
Total Revenue,5309000.0,4476000.0,7241000.0,5961000.0
Operating Revenue,5309000.0,4476000.0,7241000.0,5961000.0
