Metric,Value
address1,17th km National Road
address2,Athens-Lamia & Foinikos Str. Nea Kifissia
city,Athens
zip,14564
country,Greece
phone,30 211 88 81 300
website,https://www.icon-nrg.com
industry,Marine Shipping
industryKey,marine-shipping
industryDisp,Marine Shipping
sector,Industrials
sectorKey,industrials
sectorDisp,Industrials
longBusinessSummary,"Icon Energy Corp. is a shipping company, providing seaborne transportation services for dry bulk cargoes through fleet of oceangoing vessels worldwide. The company was incorporated in 2023 and is based in Athens, Greece. Icon Energy Corp. is a subsidiary of Atlantis Holding Corp."
companyOfficers,"[{'maxAge': 1, 'name': 'Ms. Ismini Evangelia Panagiotidi', 'age': 40, 'title': 'CEO & Chairwoman of the Board', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dennis  Psachos', 'age': 40, 'title': 'Chief Financial Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kalliopi  Kyriakakou', 'age': 41, 'title': 'Secretary', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}]"
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,2.49
open,2.39
dayLow,2.3
dayHigh,2.5474
regularMarketPreviousClose,2.49
regularMarketOpen,2.39
regularMarketDayLow,2.3
regularMarketDayHigh,2.5474
dividendRate,0.28
dividendYield,11.76
exDividendDate,1747353600
payoutRatio,0.2642
forwardPE,2.1818182
volume,99237
regularMarketVolume,99237
averageVolume,1155863
averageVolume10days,253820
averageDailyVolume10Day,253820
bid,0.0
ask,0.0
bidSize,0
askSize,0
marketCap,5244552
fiftyTwoWeekLow,1.6
fiftyTwoWeekHigh,154.0
priceToSalesTrailing12Months,0.9878606
fiftyDayAverage,1.9825
twoHundredDayAverage,41.362877
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,USD
tradeable,False
enterpriseValue,20144142
profitMargins,-0.03956
floatShares,2180226
sharesOutstanding,2185230
sharesShort,98523
sharesShortPriorMonth,139761
sharesShortPreviousMonthDate,1747267200
dateShortInterest,1749772800
sharesPercentSharesOut,0.045100003
heldPercentInsiders,0.00229
heldPercentInstitutions,0.00348
shortRatio,0.04
shortPercentOfFloat,0.0452
impliedSharesOutstanding,2185230
bookValue,5.374
priceToBook,0.44659472
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
netIncomeToCommon,-1187000
trailingEps,-60.83
forwardEps,1.1
lastSplitFactor,1:40
lastSplitDate,1743465600
enterpriseToRevenue,3.794
enterpriseToEbitda,15.495
52WeekChange,-0.9837838
SandP52WeekChange,0.12677538
lastDividendValue,0.07
lastDividendDate,1747353600
quoteType,EQUITY
currentPrice,2.4
targetHighPrice,4.5
targetLowPrice,4.5
targetMeanPrice,4.5
targetMedianPrice,4.5
recommendationKey,none
numberOfAnalystOpinions,1
totalCash,946000
totalCashPerShare,0.433
ebitda,1300000
totalDebt,15931000
quickRatio,0.284
currentRatio,0.387
totalRevenue,5309000
debtToEquity,135.629
revenuePerShare,272.047
returnOnAssets,0.0050999997
returnOnEquity,-0.020079998
grossProfits,2085000
freeCashflow,-19150250
operatingCashflow,864000
revenueGrowth,0.406
grossMargins,0.39273
ebitdaMargins,0.24486999
operatingMargins,-0.22988
financialCurrency,USD
symbol,ICON
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
priceEpsCurrentYear,-1.1374408
fiftyDayAverageChange,0.41750014
fiftyDayAverageChangePercent,0.21059276
twoHundredDayAverageChange,-38.962875
twoHundredDayAverageChangePercent,-0.9419769
sourceInterval,15
exchangeDataDelayedBy,0
ipoExpectedDate,2024-07-12
cryptoTradeable,False
corporateActions,[]
postMarketTime,1751576047
regularMarketTime,1751562000
exchange,NCM
messageBoardId,finmb_206738211
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,-3.61445
regularMarketPrice,2.4
hasPrePostMarketData,True
firstTradeDateMilliseconds,1720791000000
postMarketChangePercent,5.83333
postMarketPrice,2.54
postMarketChange,0.14
regularMarketChange,-0.0899999
regularMarketDayRange,2.3 - 2.5474
fullExchangeName,NasdaqCM
averageDailyVolume3Month,1155863
fiftyTwoWeekLowChange,0.8000001
fiftyTwoWeekLowChangePercent,0.50000006
fiftyTwoWeekRange,1.6 - 154.0
fiftyTwoWeekHighChange,-151.6
fiftyTwoWeekHighChangePercent,-0.98441565
fiftyTwoWeekChangePercent,-98.37838
dividendDate,1748563200
epsTrailingTwelveMonths,-60.83
epsForward,1.1
epsCurrentYear,-2.11
shortName,Icon Energy Corp.
longName,Icon Energy Corp.
marketState,CLOSED
displayName,Icon Energy
trailingPegRatio,
