,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,0.0,,0.0
Ordinary Shares Number,49641476.0,4190351.0,3684951.0,872675.0,
Share Issued,49641476.0,4190351.0,3684951.0,872675.0,
Net Debt,8696320.0,8473785.0,4330685.0,28526760.0,
Total Debt,8742393.0,8600990.0,5463301.0,28768380.0,
Tangible Book Value,-8858573.0,-8896776.0,-15769800.0,-40941384.0,
Invested Capital,-116180.0,-339864.0,-10306499.0,-5041097.0,
Working Capital,-1475449.0,-381823.0,-10308797.0,3154760.0,
Net Tangible Assets,-8858573.0,-8896776.0,-15769800.0,-40941384.0,
Capital Lease Obligations,0.0,44078.0,0.0,,0.0
Common Stock Equity,-8858573.0,-8896776.0,-15769800.0,-33809477.0,
Total Capitalization,-1249517.0,-339864.0,-10306499.0,-5041097.0,
Total Equity Gross Minority Interest,-9015706.0,-8896776.0,-15769800.0,-33809477.0,
Minority Interest,-157133.0,0.0,,,
Stockholders Equity,-8858573.0,-8896776.0,-15769800.0,-33809477.0,
Other Equity Interest,266295.0,1187026.0,2077988.0,13700285.0,
Retained Earnings,-120536393.0,-119370074.0,-125263129.0,-116164504.0,
Additional Paid In Capital,86177203.0,84123447.0,83790504.0,64977243.0,
Capital Stock,19868311.0,19796814.0,19893386.0,7209086.0,
Common Stock,19868311.0,19796814.0,19893386.0,7209086.0,
Total Liabilities Net Minority Interest,9396312.0,9399743.0,36413556.0,47831791.0,
Total Non Current Liabilities Net Minority Interest,7609056.0,8556912.0,5463301.0,46770549.0,
Other Non Current Liabilities,,3.0,1.0,14962258.0,
Long Term Debt And Capital Lease Obligation,7609056.0,8556912.0,5463301.0,28768380.0,
Long Term Capital Lease Obligation,,,,,0.0
Long Term Debt,7609056.0,8556912.0,5463301.0,28768380.0,
Long Term Provisions,,,,3039911.0,2979956.0
Current Liabilities,1787256.0,842831.0,30950255.0,1061242.0,
Other Current Liabilities,,,1.0,14962258.0,
Current Debt And Capital Lease Obligation,1133337.0,44078.0,0.0,0.0,
Current Capital Lease Obligation,0.0,44078.0,0.0,,0.0
Current Debt,1133337.0,0.0,,0.0,2298638.0
Payables,250308.0,515514.0,1166590.0,930105.0,
Other Payable,18122.0,,120245.0,39042.0,10089856.0
Total Tax Payable,26003.0,26737.0,388422.0,395684.0,
Accounts Payable,206183.0,488777.0,657923.0,495379.0,
Total Assets,380606.0,502967.0,20643756.0,14022314.0,
Total Non Current Assets,68799.0,41959.0,2299.0,9806312.0,
Other Non Current Assets,,,,-7131907.0,
Goodwill And Other Intangible Assets,,0.0,0.0,7131907.0,
Net PPE,68799.0,41959.0,2299.0,9806312.0,
Accumulated Depreciation,-96434.0,-123190.0,-602729.0,-4037254.0,
Gross PPE,165233.0,165149.0,605028.0,13843566.0,
Machinery Furniture Equipment,95219.0,95219.0,98210.0,95397.0,
Buildings And Improvements,0.0,69930.0,0.0,0.0,
Properties,70014.0,0.0,506818.0,13748169.0,
Current Assets,311807.0,461008.0,20641458.0,4216002.0,
Assets Held For Sale Current,0.0,0.0,18739291.0,0.0,
Restricted Cash,,,0.0,500719.0,27479.0
Prepaid Assets,47519.0,72589.0,176493.0,106730.0,
Inventory,,,0.0,1365225.0,541230.0
Finished Goods,,,0.0,691528.0,510254.0
Raw Materials,,,0.0,673697.0,30976.0
Other Receivables,131477.0,21870.0,61243.0,1613743.0,
Accounts Receivable,0.0,0.0,531815.0,387965.0,
Cash Cash Equivalents And Short Term Investments,132811.0,366549.0,1132616.0,241620.0,
Other Short Term Investments,86738.0,283422.0,,,
Cash And Cash Equivalents,46073.0,83127.0,1132616.0,241620.0,
Cash Financial,46073.0,83127.0,1132616.0,,
