,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2350813.0,-2646915.0,-2374721.0,-1696316.0,
Issuance Of Debt,185481.0,1358513.0,0.0,,0.0
Issuance Of Capital Stock,2125253.0,235463.0,2714574.0,1820397.0,
Capital Expenditure,,,-278811.0,-369942.0,-2115153.0
End Cash Position,46073.0,83127.0,1132616.0,742339.0,
Other Cash Adjustment Outside Changein Cash,,,2.0,,
Beginning Cash Position,83127.0,1132616.0,742339.0,682159.0,
Effect Of Exchange Rate Changes,0.0,0.0,50424.0,-63090.0,
Changes In Cash,-37054.0,-1049489.0,339853.0,123270.0,
Financing Cash Flow,2310734.0,1593976.0,2714574.0,1819586.0,
Net Other Financing Charges,,,,79360.0,-182378.0
Interest Paid Cff,,,,,0.0
Net Common Stock Issuance,2125253.0,235463.0,2714574.0,1820397.0,
Common Stock Issuance,2125253.0,235463.0,2714574.0,1820397.0,
Net Issuance Payments Of Debt,185481.0,1358513.0,0.0,,0.0
Net Long Term Debt Issuance,185481.0,1358513.0,0.0,,0.0
Long Term Debt Issuance,185481.0,1358513.0,0.0,,0.0
Investing Cash Flow,3025.0,3450.0,-278811.0,-369942.0,
Interest Received Cfi,3025.0,3450.0,0.0,,
Net Intangibles Purchase And Sale,,0.0,-217578.0,-118716.0,-470637.0
Purchase Of Intangibles,,0.0,-217578.0,-118716.0,-470637.0
Net PPE Purchase And Sale,0.0,0.0,-61233.0,-251226.0,
Purchase Of PPE,0.0,0.0,-61233.0,-251226.0,
Operating Cash Flow,-2350813.0,-2646915.0,-2095910.0,-1326374.0,
Change In Working Capital,-41199.0,-863116.0,3992066.0,9369804.0,
Change In Payable,-38255.0,-1538208.0,2150092.0,5072974.0,
Change In Inventory,0.0,0.0,863196.0,-823995.0,
Change In Receivables,-2944.0,675092.0,978778.0,5120825.0,
Other Non Cash Items,881031.0,912842.0,2980994.0,4638098.0,
Stock Based Compensation,-920731.0,31735.0,157757.0,271038.0,
Depreciation And Amortization,16395.0,27972.0,1435730.0,1626087.0,
Amortization Cash Flow,,0.0,1419193.0,1498431.0,1874810.0
Depreciation,16395.0,27972.0,16537.0,127656.0,
Gain Loss On Investment Securities,208722.0,-8006095.0,,-62477.0,-666306.0
Net Foreign Currency Exchange Gain Loss,-401670.0,649523.0,-1582441.0,-5612490.0,
Gain Loss On Sale Of PPE,-3289.0,2298.0,0.0,1858.0,
Net Income From Continuing Operations,-2247205.0,4970359.0,-9586834.0,-11558292.0,
