,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.19,0.0,
Normalized EBITDA,-1141321.0,-1662131.0,102854.0,3300649.0,
Total Unusual Items,-205433.0,-203358.0,0.0,62477.0,
Total Unusual Items Excluding Goodwill,-205433.0,-203358.0,0.0,62477.0,
Net Income From Continuing Operation Net Minority Interest,-2090072.0,-4085516.0,-4382427.0,-1893610.0,
Reconciled Depreciation,16395.0,27972.0,1435730.0,1626087.0,
Reconciled Cost Of Revenue,216701.0,0.0,0.0,0.0,
EBITDA,-1346754.0,-1865489.0,102854.0,3363126.0,
EBIT,-1363149.0,-1893461.0,-1332876.0,1737039.0,
Net Interest Income,-881031.0,-2188605.0,-2980787.0,475334.0,
Interest Expense,884056.0,2192055.0,2981409.0,3630649.0,
Interest Income,3025.0,3450.0,622.0,4105983.0,
Normalized Income,-1884639.0,-3882158.0,-4382427.0,-1956087.0,
Net Income From Continuing And Discontinued Operation,-2090072.0,4970359.0,-9586836.0,-11769911.0,
Total Expenses,1606411.0,1044030.0,2951806.0,2454739.0,
Total Operating Income As Reported,-1588371.0,-1220787.0,-2951720.0,-2431421.0,
Diluted Average Shares,23583266.0,3245054.0,1272803.0,847261.0,
Basic Average Shares,23583266.0,3245054.0,1272803.0,847261.0,
Diluted EPS,-0.15,1.95,-7.5,-13.949999,
Basic EPS,-0.15,1.95,-7.5,-13.949999,
Diluted NI Availto Com Stockholders,-2090072.0,4970359.0,-9586836.0,-11769911.0,
Net Income Common Stockholders,-2090072.0,4970359.0,-9586836.0,-11769911.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-2090072.0,4970359.0,-9586836.0,-11769911.0,
Minority Interests,157133.0,0.0,,,
Net Income Including Noncontrolling Interests,-2247205.0,4970359.0,-9586836.0,-11769911.0,
Net Income Discontinuous Operations,0.0,9055875.0,-5204409.0,-9876301.0,
Net Income Continuous Operations,-2247205.0,-4085516.0,-4382427.0,-1893610.0,
Tax Provision,0.0,0.0,68142.0,0.0,
Pretax Income,-2247205.0,-4085516.0,-4314285.0,-1893610.0,
Special Income Charges,3289.0,-2298.0,0.0,,0.0
Other Special Charges,-3289.0,2298.0,,,
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-881031.0,-2188605.0,-2980787.0,475334.0,
Total Other Finance Cost,,,,404108.0,781729.0
Interest Expense Non Operating,884056.0,2192055.0,2981409.0,3630649.0,
Interest Income Non Operating,3025.0,3450.0,622.0,4105983.0,
Operating Income,-1562411.0,-1044030.0,-2951720.0,-2431421.0,
Operating Expense,1389710.0,1044030.0,2951806.0,2454739.0,
Other Operating Expenses,,,,205651.0,215512.0
Selling General And Administration,1418959.0,1218489.0,2951806.0,2454739.0,
Selling And Marketing Expense,0.0,0.0,,,
General And Administrative Expense,1418959.0,1218489.0,2951806.0,2454739.0,
Gross Profit,-172701.0,0.0,86.0,23318.0,
Cost Of Revenue,216701.0,0.0,0.0,0.0,
Total Revenue,44000.0,0.0,86.0,23318.0,
Operating Revenue,44000.0,0.0,86.0,23318.0,
