Metric,Value
address1,85 Great Portland Street
address2,First Floor
city,London
zip,W1W 7LT
country,United Kingdom
website,https://www.nativoresources.com
industry,Other Precious Metals & Mining
industryKey,other-precious-metals-mining
industryDisp,Other Precious Metals & Mining
sector,Basic Materials
sectorKey,basic-materials
sectorDisp,Basic Materials
longBusinessSummary,"Nativo Resources plc, through its subsidiaries, operates as an exploration led and gas focused E and P company. It also engages in holding Argentinian and Bolivian branch assets. The company was formerly known as Echo Energy plc. Nativo Resources plc was incorporated in 2005 and is based in London, the United Kingdom."
fullTimeEmployees,4
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Christian James Kurt Yates', 'age': 62, 'title': 'Executive Chairman', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 33262, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen James Birrell', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 108246, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1703980800
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.334
open,0.3
dayLow,0.23
dayHigh,0.3435
regularMarketPreviousClose,0.334
regularMarketOpen,0.3
regularMarketDayLow,0.23
regularMarketDayHigh,0.3435
payoutRatio,0.0
beta,0.376
volume,27014570
regularMarketVolume,27014570
averageVolume,10645082
averageVolume10days,37180333
averageDailyVolume10Day,37180333
bid,0.25
ask,0.3
marketCap,468807
fiftyTwoWeekLow,0.23
fiftyTwoWeekHigh,7.4999
priceToSalesTrailing12Months,10.654704
fiftyDayAverage,0.51874
twoHundredDayAverage,2.325756
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,8586165
profitMargins,0.0
floatShares,37168799
sharesOutstanding,164494000
heldPercentInsiders,0.07958
heldPercentInstitutions,0.23599
impliedSharesOutstanding,127941000
bookValue,-0.215
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
netIncomeToCommon,-2090072
trailingEps,-0.11
lastSplitFactor,1:1500
lastSplitDate,1740614400
enterpriseToRevenue,195.14
enterpriseToEbitda,-5.496
52WeekChange,-0.9524992
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.285
recommendationKey,none
totalCash,132811
totalCashPerShare,0.003
ebitda,-1562333
totalDebt,8742393
quickRatio,0.148
currentRatio,0.174
totalRevenue,44000
revenuePerShare,0.002
returnOnAssets,-2.21036
grossProfits,-172701
freeCashflow,-1738996
operatingCashflow,-2350813
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,-19.1315
financialCurrency,USD
symbol,NTVO.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
shortName,NATIVO RESOURCES PLC ORD 0.15P
longName,Nativo Resources plc
marketState,CLOSED
corporateActions,[]
regularMarketTime,1751642748
exchange,LSE
messageBoardId,finmb_25070358
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-14.670658
regularMarketPrice,0.285
hasPrePostMarketData,False
firstTradeDateMilliseconds,1134374400000
regularMarketChange,-0.048999995
regularMarketDayRange,0.23 - 0.3435
fullExchangeName,LSE
averageDailyVolume3Month,10645082
fiftyTwoWeekLowChange,0.054999992
fiftyTwoWeekLowChangePercent,0.2391304
fiftyTwoWeekRange,0.23 - 7.4999
fiftyTwoWeekHighChange,-7.2149
fiftyTwoWeekHighChangePercent,-0.96199954
fiftyTwoWeekChangePercent,-95.24992
earningsTimestampStart,1750929530
earningsTimestampEnd,1751275130
isEarningsDateEstimate,True
epsTrailingTwelveMonths,-0.11
fiftyDayAverageChange,-0.23374
fiftyDayAverageChangePercent,-0.45059183
twoHundredDayAverageChange,-2.040756
twoHundredDayAverageChangePercent,-0.87745917
priceToBook,-1.3255813
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
trailingPegRatio,
