,2023-12-31,2022-12-31
Ordinary Shares Number,147773386.0,147773386.0
Share Issued,147773386.0,147773386.0
Net Debt,659114000.0,441435000.0
Total Debt,2804907000.0,1925550000.0
Tangible Book Value,30835000.0,2155000.0
Invested Capital,828656000.0,563350000.0
Working Capital,265221000.0,27301000.0
Net Tangible Assets,30835000.0,2155000.0
Capital Lease Obligations,2072377000.0,1425846000.0
Common Stock Equity,96126000.0,63646000.0
Total Capitalization,811834000.0,501987000.0
Total Equity Gross Minority Interest,101726000.0,68651000.0
Minority Interest,5600000.0,5005000.0
Stockholders Equity,96126000.0,63646000.0
Retained Earnings,95997000.0,63517000.0
Capital Stock,129000.0,129000.0
Common Stock,129000.0,129000.0
Total Liabilities Net Minority Interest,3411013000.0,2393240000.0
Total Non Current Liabilities Net Minority Interest,2954087000.0,1909378000.0
Other Non Current Liabilities,123477000.0,37076000.0
Non Current Accrued Expenses,152905000.0,129181000.0
Long Term Debt And Capital Lease Obligation,2677705000.0,1743121000.0
Long Term Capital Lease Obligation,1961997000.0,1304780000.0
Long Term Debt,715708000.0,438341000.0
Current Liabilities,456926000.0,483862000.0
Current Debt And Capital Lease Obligation,127202000.0,182429000.0
Current Capital Lease Obligation,110380000.0,121066000.0
Current Debt,16822000.0,61363000.0
Other Current Borrowings,16822000.0,61363000.0
Payables And Accrued Expenses,329724000.0,301433000.0
Current Accrued Expenses,188777000.0,154271000.0
Payables,140947000.0,147162000.0
Dueto Related Parties Current,0.0,36586000.0
Accounts Payable,140947000.0,110576000.0
Total Assets,3512739000.0,2461891000.0
Total Non Current Assets,2790592000.0,1950728000.0
Other Non Current Assets,139961000.0,113628000.0
Goodwill And Other Intangible Assets,65291000.0,61491000.0
Other Intangible Assets,6270000.0,6270000.0
Goodwill,59021000.0,55221000.0
Net PPE,2585340000.0,1775609000.0
Accumulated Depreciation,-65800000.0,-40165000.0
Gross PPE,2651140000.0,1815774000.0
Leases,58958000.0,47238000.0
Construction In Progress,50937000.0,39813000.0
Other Properties,2048348000.0,1380004000.0
Machinery Furniture Equipment,64750000.0,46842000.0
Buildings And Improvements,372554000.0,265520000.0
Land And Improvements,55593000.0,36357000.0
Properties,0.0,0.0
Current Assets,722147000.0,511163000.0
Other Current Assets,48665000.0,32770000.0
Receivables,600066000.0,420124000.0
Other Receivables,52259000.0,49200000.0
Accounts Receivable,547807000.0,370924000.0
Cash Cash Equivalents And Short Term Investments,73416000.0,58269000.0
Cash And Cash Equivalents,73416000.0,58269000.0
