,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-109109000.0,14379000.0,-146161000.0
Repayment Of Debt,-1057618000.0,-173050000.0,-386552000.0
Issuance Of Debt,1267017000.0,242434000.0,622397000.0
Capital Expenditure,-172806000.0,-78236000.0,-203763000.0
Interest Paid Supplemental Data,50558000.0,25911000.0,6943000.0
Income Tax Paid Supplemental Data,60009000.0,42554000.0,29110000.0
End Cash Position,118704000.0,98206000.0,68562000.0
Beginning Cash Position,98206000.0,68562000.0,47512000.0
Changes In Cash,20498000.0,29644000.0,21050000.0
Financing Cash Flow,129592000.0,12350000.0,182048000.0
Cash Flow From Continuing Financing Activities,129592000.0,12350000.0,182048000.0
Net Other Financing Charges,587000.0,3246000.0,
Cash Dividends Paid,-80394000.0,-60280000.0,-53797000.0
Common Stock Dividend Paid,-80394000.0,-60280000.0,-53797000.0
Net Issuance Payments Of Debt,209399000.0,69384000.0,235845000.0
Net Long Term Debt Issuance,209399000.0,69384000.0,235845000.0
Long Term Debt Payments,-1057618000.0,-173050000.0,-386552000.0
Long Term Debt Issuance,1267017000.0,242434000.0,622397000.0
Investing Cash Flow,-172791000.0,-75321000.0,-218600000.0
Cash Flow From Continuing Investing Activities,-172791000.0,-75321000.0,-218600000.0
Net Other Investing Changes,750000.0,10000.0,
Dividends Received Cfi,1862000.0,2905000.0,877000.0
Net Business Purchase And Sale,-2597000.0,0.0,-15714000.0
Purchase Of Business,-2597000.0,0.0,-15714000.0
Net PPE Purchase And Sale,-172806000.0,-78236000.0,-203763000.0
Purchase Of PPE,-172806000.0,-78236000.0,-203763000.0
Operating Cash Flow,63697000.0,92615000.0,57602000.0
Cash Flow From Continuing Operating Activities,63697000.0,92615000.0,57602000.0
Change In Working Capital,-94661000.0,-94290000.0,-4357000.0
Change In Other Working Capital,568000.0,-4526000.0,-5112000.0
Change In Other Current Liabilities,87045000.0,76000.0,-21259000.0
Change In Other Current Assets,-3338000.0,-39341000.0,2193000.0
Change In Payables And Accrued Expense,19771000.0,70490000.0,44942000.0
Change In Accrued Expense,-13600000.0,37682000.0,14164000.0
Change In Payable,33371000.0,32808000.0,30778000.0
Change In Account Payable,33371000.0,32808000.0,30778000.0
Change In Prepaid Assets,-18765000.0,-6371000.0,14967000.0
Change In Receivables,-179942000.0,-114618000.0,-40088000.0
Changes In Account Receivables,-176883000.0,-114416000.0,-36903000.0
Other Non Cash Items,28795000.0,15669000.0,2231000.0
Deferred Tax,-9923000.0,-1921000.0,7834000.0
Deferred Income Tax,-9923000.0,-1921000.0,7834000.0
Depreciation Amortization Depletion,25632000.0,22311000.0,7153000.0
Depreciation And Amortization,25632000.0,22311000.0,7153000.0
Operating Gains Losses,972000.0,350000.0,-3206000.0
Earnings Losses From Equity Investments,391000.0,346000.0,-232000.0
Gain Loss On Sale Of PPE,581000.0,4000.0,-2974000.0
Net Income From Continuing Operations,112882000.0,150496000.0,47947000.0
