,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.281,0.273,0.27
Normalized EBITDA,232868000.0,254894000.0,93857000.0
Net Income From Continuing Operation Net Minority Interest,112874000.0,150496000.0,47947000.0
Reconciled Depreciation,25632000.0,22311000.0,7153000.0
Reconciled Cost Of Revenue,2664424000.0,2021317000.0,979217000.0
EBITDA,232868000.0,254894000.0,93857000.0
EBIT,207236000.0,232583000.0,86704000.0
Net Interest Income,-49919000.0,-25538000.0,-5278000.0
Interest Expense,49919000.0,25538000.0,5278000.0
Normalized Income,112874000.0,150496000.0,47947000.0
Net Income From Continuing And Discontinued Operation,112874000.0,150496000.0,47947000.0
Total Expenses,2903720000.0,2192634000.0,1083204000.0
Rent Expense Supplemental,216711000.0,160003000.0,78122000.0
Total Operating Income As Reported,207772000.0,229360000.0,83359000.0
Diluted Average Shares,150151958.0,150151958.0,150151958.0
Basic Average Shares,150151958.0,150151958.0,150151958.0
Diluted EPS,0.751732,1.002291,0.319323
Basic EPS,0.751732,1.002291,0.319323
Diluted NI Availto Com Stockholders,112874000.0,150496000.0,47947000.0
Net Income Common Stockholders,112874000.0,150496000.0,47947000.0
Net Income,112874000.0,150496000.0,47947000.0
Minority Interests,-8000.0,0.0,0.0
Net Income Including Noncontrolling Interests,112882000.0,150496000.0,47947000.0
Net Income Continuous Operations,112882000.0,150496000.0,47947000.0
Tax Provision,44435000.0,56549000.0,33479000.0
Pretax Income,157317000.0,207045000.0,81426000.0
Other Income Expense,-536000.0,3223000.0,3345000.0
Other Non Operating Income Expenses,-536000.0,3223000.0,3345000.0
Net Non Operating Interest Income Expense,-49919000.0,-25538000.0,-5278000.0
Interest Expense Non Operating,49919000.0,25538000.0,5278000.0
Operating Income,207772000.0,229360000.0,83359000.0
Operating Expense,239296000.0,171317000.0,103987000.0
Depreciation Amortization Depletion Income Statement,25632000.0,22311000.0,7153000.0
Depreciation And Amortization In Income Statement,25632000.0,22311000.0,7153000.0
Selling General And Administration,213664000.0,149006000.0,96834000.0
General And Administrative Expense,213664000.0,149006000.0,96834000.0
Other Gand A,213664000.0,149006000.0,96834000.0
Gross Profit,447068000.0,400677000.0,187346000.0
Cost Of Revenue,2664424000.0,2021317000.0,979217000.0
Total Revenue,3111492000.0,2421994000.0,1166563000.0
Operating Revenue,3110489000.0,2420637000.0,1164472000.0
