,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Treasury Shares Number,0.0,0.0,,
Ordinary Shares Number,36312823.0,36312823.0,36312823.0,34860515.0
Share Issued,36312823.0,36312823.0,36312823.0,34860515.0
Net Debt,6407000.0,5163000.0,5590000.0,4117000.0
Total Debt,6709000.0,7799000.0,8286000.0,5361000.0
Tangible Book Value,-6273000.0,-6131000.0,-4325000.0,-3577000.0
Invested Capital,229000.0,-141000.0,2626000.0,2817000.0
Working Capital,-3008000.0,-4284000.0,-2090000.0,-1263000.0
Net Tangible Assets,-6273000.0,-6131000.0,-4325000.0,-3577000.0
Capital Lease Obligations,207000.0,2488000.0,2692000.0,324000.0
Common Stock Equity,-6273000.0,-5452000.0,-2968000.0,-2220000.0
Total Capitalization,-2589000.0,-2601000.0,274000.0,800000.0
Total Equity Gross Minority Interest,-6273000.0,-5452000.0,-2968000.0,-2220000.0
Stockholders Equity,-6273000.0,-5452000.0,-2968000.0,-2220000.0
Retained Earnings,-11952000.0,-11131000.0,-8647000.0,-7784000.0
Additional Paid In Capital,5316000.0,5316000.0,5316000.0,5215000.0
Capital Stock,363000.0,363000.0,363000.0,349000.0
Common Stock,363000.0,363000.0,363000.0,349000.0
Total Liabilities Net Minority Interest,8204000.0,13191000.0,11145000.0,8012000.0
Total Non Current Liabilities Net Minority Interest,3901000.0,4913000.0,5612000.0,3205000.0
Tradeand Other Payables Non Current,121000.0,,,
Long Term Debt And Capital Lease Obligation,3780000.0,4913000.0,5612000.0,3205000.0
Long Term Capital Lease Obligation,96000.0,2062000.0,2370000.0,185000.0
Long Term Debt,3684000.0,2851000.0,3242000.0,3020000.0
Current Liabilities,4303000.0,8278000.0,5533000.0,4807000.0
Current Debt And Capital Lease Obligation,2929000.0,2886000.0,2674000.0,2156000.0
Current Capital Lease Obligation,111000.0,426000.0,322000.0,139000.0
Current Debt,2818000.0,2460000.0,2352000.0,2017000.0
Payables,776000.0,2199000.0,1419000.0,1082000.0
Total Tax Payable,370000.0,1002000.0,447000.0,501000.0
Accounts Payable,406000.0,1197000.0,972000.0,581000.0
Total Assets,1931000.0,7739000.0,8177000.0,5792000.0
Total Non Current Assets,636000.0,3745000.0,4734000.0,2248000.0
Other Non Current Assets,,,,1000.0
Goodwill And Other Intangible Assets,0.0,679000.0,1357000.0,1357000.0
Goodwill,0.0,679000.0,1357000.0,1357000.0
Net PPE,636000.0,3066000.0,3377000.0,890000.0
Accumulated Depreciation,-2023000.0,-2724000.0,-2211000.0,-1825000.0
Gross PPE,2659000.0,5790000.0,5588000.0,2715000.0
Other Properties,824000.0,818000.0,662000.0,676000.0
Machinery Furniture Equipment,1454000.0,1695000.0,1704000.0,1648000.0
Buildings And Improvements,381000.0,3277000.0,3222000.0,391000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1295000.0,3994000.0,3443000.0,3544000.0
Prepaid Assets,143000.0,940000.0,274000.0,276000.0
Inventory,113000.0,253000.0,340000.0,373000.0
Finished Goods,113000.0,147000.0,190000.0,86000.0
Raw Materials,0.0,106000.0,150000.0,287000.0
Other Receivables,360000.0,564000.0,854000.0,467000.0
Taxes Receivable,80000.0,826000.0,710000.0,442000.0
Accounts Receivable,504000.0,1263000.0,1261000.0,1066000.0
Allowance For Doubtful Accounts Receivable,,0.0,0.0,
Gross Accounts Receivable,,1263000.0,1261000.0,
Cash Cash Equivalents And Short Term Investments,95000.0,148000.0,4000.0,920000.0
Cash And Cash Equivalents,95000.0,148000.0,4000.0,920000.0
