,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-280000.0,1202000.0,-1158000.0,937000.0
Repayment Of Debt,-544000.0,-1207000.0,,-483000.0
Issuance Of Debt,1343000.0,604000.0,,339000.0
Capital Expenditure,-50000.0,-111000.0,-325000.0,-130000.0
End Cash Position,95000.0,148000.0,4000.0,920000.0
Beginning Cash Position,148000.0,4000.0,920000.0,250000.0
Changes In Cash,-53000.0,144000.0,-916000.0,670000.0
Financing Cash Flow,227000.0,-1058000.0,242000.0,-309000.0
Net Issuance Payments Of Debt,799000.0,-603000.0,405000.0,-144000.0
Net Long Term Debt Issuance,799000.0,-603000.0,405000.0,-144000.0
Long Term Debt Payments,-544000.0,-1207000.0,,-483000.0
Long Term Debt Issuance,1343000.0,604000.0,,339000.0
Investing Cash Flow,-50000.0,-111000.0,-325000.0,-88000.0
Net Business Purchase And Sale,,,0.0,42000.0
Sale Of Business,,,0.0,42000.0
Net PPE Purchase And Sale,-50000.0,-111000.0,-325000.0,-130000.0
Purchase Of PPE,-50000.0,-111000.0,-325000.0,-130000.0
Operating Cash Flow,-230000.0,1313000.0,-833000.0,1067000.0
Taxes Refund Paid,695000.0,683000.0,440000.0,394000.0
Interest Paid Cfo,-173000.0,-196000.0,-124000.0,-50000.0
Change In Working Capital,-666000.0,2468000.0,-261000.0,274000.0
Change In Other Current Liabilities,-1002000.0,2759000.0,286000.0,581000.0
Change In Inventory,65000.0,87000.0,33000.0,-171000.0
Change In Receivables,271000.0,-378000.0,-580000.0,-136000.0
Depreciation And Amortization,619000.0,579000.0,424000.0,192000.0
Depreciation,619000.0,579000.0,424000.0,192000.0
Net Income From Continuing Operations,-1215000.0,-2899000.0,-1312000.0,257000.0
