,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-40750.0,-165164.433618,0.0,0.0
Tax Rate For Calcs,0.25,0.243605,0.19,0.19
Normalized EBITDA,-596000.0,-2320000.0,-888000.0,449000.0
Total Unusual Items,0.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-163000.0,-678000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-2561000.0,-2484000.0,-868000.0,522000.0
Reconciled Depreciation,619000.0,579000.0,424000.0,192000.0
EBITDA,-596000.0,-2320000.0,-888000.0,449000.0
EBIT,-1215000.0,-2899000.0,-1312000.0,257000.0
Net Interest Income,-424000.0,-385000.0,-264000.0,-178000.0
Interest Expense,424000.0,385000.0,264000.0,178000.0
Normalized Income,-2275750.0,-1293164.433618,-868000.0,522000.0
Net Income From Continuing And Discontinued Operation,-2561000.0,-2484000.0,-868000.0,522000.0
Total Expenses,10190000.0,8691000.0,7503000.0,6408000.0
Rent Expense Supplemental,,,352000.0,156000.0
Total Operating Income As Reported,-1215000.0,-2899000.0,-1312000.0,257000.0
Diluted Average Shares,,36312823.0,35812823.0,55344987.0
Basic Average Shares,,36312823.0,35812823.0,34860515.0
Diluted EPS,,-0.0684,-0.0242,0.008
Basic EPS,,-0.0684,-0.0242,0.015
Diluted NI Availto Com Stockholders,-821000.0,-2484000.0,-868000.0,522000.0
Net Income Common Stockholders,-1691000.0,-2484000.0,-868000.0,522000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1691000.0,-2484000.0,-868000.0,522000.0
Net Income Including Noncontrolling Interests,-821000.0,-2484000.0,-868000.0,522000.0
Net Income Extraordinary,870000.0,0.0,,
Net Income Continuous Operations,-1691000.0,-2484000.0,-868000.0,522000.0
Tax Provision,52000.0,-800000.0,-708000.0,-443000.0
Pretax Income,-1639000.0,-3284000.0,-1576000.0,79000.0
Special Income Charges,-163000.0,-678000.0,0.0,
Net Non Operating Interest Income Expense,-424000.0,-385000.0,-264000.0,-178000.0
Interest Expense Non Operating,424000.0,385000.0,264000.0,178000.0
Operating Income,-1052000.0,-2221000.0,-1312000.0,257000.0
Operating Expense,10190000.0,8691000.0,7503000.0,6408000.0
Other Operating Expenses,5236000.0,4515000.0,3642000.0,2930000.0
Total Revenue,9138000.0,6470000.0,6191000.0,6665000.0
Operating Revenue,9138000.0,6470000.0,6191000.0,6665000.0
