Metric,Value
address1,2a & 3 Crabtree  Road
address2,Forest Vale Industrial Estate
city,Cinderford
zip,GL14 2YQ
country,United Kingdom
website,https://www.pipehawk.com
industry,Scientific & Technical Instruments
industryKey,scientific-technical-instruments
industryDisp,Scientific & Technical Instruments
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"PipeHawk plc engages in the development, assembly, and sale of automated manufacturing units, test system, rail industry solutions, and ground probing radar (GPR) equipment in the United Kingdom, Europe and internationally. It operates through Utility Detection and Mapping Services; Development, Assembly, and Sale of GPR Equipment; and Rail Trackside Solutions segments. The company also provides GPR based services; and undertakes complementary research and development assignments. In addition, it offers site survey support to civil engineers, consulting engineers, design engineers, and planners; and produces machines, attachments, and tools for track renewal and maintenance. Further, the company is involved in research and development of GPR products and services under the Groundvue and PipeHawk brand name, as well as provision of training in GPRs techniques. It provides solutions for a range of industries, such as highways, automotive, rail, aerospace, and slip test solutions. PipeHawk plc was incorporated in 2000 and is based in Cinderford, the United Kingdom."
fullTimeEmployees,108
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Gordon George Watt BA, FCA, FRSA', 'age': 71, 'title': 'Executive Chairman & CEO', 'yearBorn': 1953, 'fiscalYear': 2024, 'totalPay': 71000, 'exercisedValue': 0, 'unexercisedValue': 3750}, {'maxAge': 1, 'name': 'Mr. Andrew  Tombs', 'title': 'Secretary', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,1.375
open,0.0
dayLow,0.0
dayHigh,0.0
regularMarketPreviousClose,1.375
regularMarketOpen,0.0
regularMarketDayLow,0.0
regularMarketDayHigh,0.0
payoutRatio,0.0
beta,-0.546
volume,213500
regularMarketVolume,213500
averageVolume,52150
averageVolume10days,26768
averageDailyVolume10Day,26768
bid,1.25
ask,1.5
bidSize,0
askSize,0
marketCap,499301
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,3.05
priceToSalesTrailing12Months,0.075026445
fiftyDayAverage,1.4685
twoHundredDayAverage,1.6739625
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,7369240
profitMargins,-0.04823
floatShares,16319346
sharesOutstanding,36312800
heldPercentInsiders,0.64128995
heldPercentInstitutions,0.0
impliedSharesOutstanding,44235600
bookValue,-0.171
lastFiscalYearEnd,1719705600
nextFiscalYearEnd,1751241600
mostRecentQuarter,1735603200
netIncomeToCommon,-321000
trailingEps,-0.03
enterpriseToRevenue,1.107
enterpriseToEbitda,-15.385
52WeekChange,-0.3452381
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,1.375
recommendationKey,none
totalCash,49000
totalCashPerShare,0.001
ebitda,-479000
totalDebt,6810000
quickRatio,0.23
currentRatio,0.252
totalRevenue,6655000
revenuePerShare,0.183
returnOnAssets,-0.054419998
grossProfits,1419000
freeCashflow,-466125
operatingCashflow,569000
revenueGrowth,-0.543
grossMargins,0.21322
ebitdaMargins,-0.07198
operatingMargins,0.113450006
financialCurrency,GBP
symbol,PIP.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
marketState,CLOSED
hasPrePostMarketData,False
firstTradeDateMilliseconds,976003200000
messageBoardId,finmb_9179339
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
corporateActions,[]
regularMarketTime,1751548688
exchange,LSE
cryptoTradeable,False
regularMarketChange,0.0
regularMarketDayRange,0.0 - 0.0
fullExchangeName,LSE
averageDailyVolume3Month,52150
fiftyTwoWeekLowChange,1.375
fiftyTwoWeekRange,0.0 - 3.05
fiftyTwoWeekHighChange,-1.675
fiftyTwoWeekHighChangePercent,-0.5491803
fiftyTwoWeekChangePercent,-34.523808
earningsTimestampStart,1616065140
earningsTimestampEnd,1616155200
epsTrailingTwelveMonths,-0.03
fiftyDayAverageChange,-0.09350002
fiftyDayAverageChangePercent,-0.06367043
twoHundredDayAverageChange,-0.29896247
twoHundredDayAverageChangePercent,-0.17859569
priceToBook,-8.0409355
sourceInterval,15
exchangeDataDelayedBy,15
shortName,PIPEHAWK PLC ORD 1P
longName,PipeHawk plc
regularMarketChangePercent,0.0
regularMarketPrice,1.375
trailingPegRatio,
