,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,12585000.0,12585000.0,12585000.0,1085000.0
Share Issued,12585000.0,12585000.0,12585000.0,1085000.0
Net Debt,,587000.0,,
Total Debt,0.0,0.0,1394000.0,0.0
Tangible Book Value,-385000.0,2857000.0,-2699000.0,833000.0
Invested Capital,-385000.0,2857000.0,12645000.0,833000.0
Working Capital,-385000.0,981000.0,3814000.0,833000.0
Net Tangible Assets,-385000.0,2857000.0,-2699000.0,833000.0
Common Stock Equity,-385000.0,2857000.0,11251000.0,833000.0
Total Capitalization,-385000.0,2857000.0,12645000.0,833000.0
Total Equity Gross Minority Interest,-385000.0,2857000.0,16392000.0,833000.0
Minority Interest,0.0,0.0,5141000.0,0.0
Stockholders Equity,-385000.0,2857000.0,11251000.0,833000.0
Other Equity Interest,65000.0,65000.0,-348000.0,65000.0
Retained Earnings,-15746000.0,-12504000.0,-3697000.0,-498000.0
Additional Paid In Capital,15139000.0,15139000.0,15139000.0,1251000.0
Capital Stock,157000.0,157000.0,157000.0,15000.0
Common Stock,157000.0,157000.0,157000.0,15000.0
Total Liabilities Net Minority Interest,547000.0,354000.0,4897000.0,234000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,1406000.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,,0.0,12000.0,0.0
Long Term Debt And Capital Lease Obligation,0.0,0.0,1394000.0,0.0
Long Term Debt,0.0,0.0,1394000.0,0.0
Current Liabilities,547000.0,354000.0,3491000.0,234000.0
Current Debt And Capital Lease Obligation,,727000.0,0.0,
Current Debt,,727000.0,0.0,
Payables,172000.0,35000.0,2042000.0,234000.0
Other Payable,139000.0,,,234000.0
Accounts Payable,33000.0,35000.0,2042000.0,0.0
Total Assets,162000.0,3211000.0,21289000.0,1067000.0
Total Non Current Assets,0.0,1876000.0,13984000.0,0.0
Long Term Equity Investment,0.0,1035000.0,,
Investmentsin Subsidiariesat Cost,0.0,1035000.0,,
Goodwill And Other Intangible Assets,,5200000.0,13950000.0,0.0
Other Intangible Assets,,5200000.0,10649000.0,
Goodwill,,0.0,3301000.0,
Net PPE,,15000.0,34000.0,0.0
Current Assets,162000.0,1335000.0,7305000.0,1067000.0
Other Current Assets,,,,-1.0
Prepaid Assets,10000.0,24000.0,118000.0,
Other Receivables,2000.0,837000.0,281000.0,55000.0
Taxes Receivable,,,,38939.0
Accounts Receivable,,1084000.0,2467000.0,0.0
Allowance For Doubtful Accounts Receivable,,0.0,0.0,
Gross Accounts Receivable,,1084000.0,2456000.0,
Cash Cash Equivalents And Short Term Investments,150000.0,474000.0,4439000.0,1012000.0
Cash And Cash Equivalents,150000.0,474000.0,4439000.0,1012000.0
