,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-326000.0,-602000.0,-5361000.0
Repayment Of Debt,,0.0,-1512000.0
Issuance Of Capital Stock,,6000.0,11856000.0
End Cash Position,150000.0,474000.0,4439000.0
Beginning Cash Position,474000.0,1076000.0,1012000.0
Effect Of Exchange Rate Changes,2000.0,0.0,-237000.0
Changes In Cash,-326000.0,-602000.0,3664000.0
Financing Cash Flow,,6000.0,10335000.0
Net Common Stock Issuance,,6000.0,11856000.0
Common Stock Issuance,,6000.0,11856000.0
Net Issuance Payments Of Debt,,0.0,-1512000.0
Net Long Term Debt Issuance,,0.0,-1512000.0
Long Term Debt Payments,,0.0,-1512000.0
Investing Cash Flow,,0.0,-1310000.0
Net Investment Purchase And Sale,,0.0,-1647000.0
Sale Of Investment,,0.0,7000.0
Purchase Of Investment,,0.0,-1654000.0
Net Business Purchase And Sale,,0.0,337000.0
Sale Of Business,,0.0,337000.0
Operating Cash Flow,-326000.0,-602000.0,-5361000.0
Change In Working Capital,83000.0,-41000.0,-1679000.0
Change In Payable,62000.0,18000.0,-816000.0
Change In Receivables,21000.0,-59000.0,-817000.0
Other Non Cash Items,-98000.0,-171000.0,83000.0
Stock Based Compensation,,44000.0,273000.0
Depreciation And Amortization,,1646000.0,1076000.0
Depreciation,,1646000.0,1076000.0
Net Income From Continuing Operations,-3242000.0,-11259000.0,-5114000.0
