,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.19
Normalized EBITDA,2522000.0,10309000.0,-3933000.0
Total Unusual Items,-2931000.0,-10869000.0,0.0
Total Unusual Items Excluding Goodwill,-2931000.0,-10869000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-3242000.0,-11259000.0,-3199000.0
Reconciled Depreciation,,1646000.0,1076000.0
Reconciled Cost Of Revenue,0.0,0.0,4361000.0
EBITDA,-409000.0,-560000.0,-3933000.0
EBIT,-409000.0,-560000.0,-5009000.0
Net Interest Income,98000.0,171000.0,-104000.0
Interest Expense,,162000.0,104000.0
Interest Income,98000.0,171000.0,
Normalized Income,-311000.0,-390000.0,-3199000.0
Net Income From Continuing And Discontinued Operation,-3242000.0,-11259000.0,-3199000.0
Total Expenses,497000.0,715000.0,10736000.0
Total Operating Income As Reported,-3340000.0,-11429000.0,-4818000.0
Diluted Average Shares,12585000.0,12585000.0,8426096.0
Basic Average Shares,12585000.0,12585000.0,8426096.0
Diluted EPS,-0.26,-0.89,-0.38
Basic EPS,-0.26,-0.89,-0.38
Diluted NI Availto Com Stockholders,-3242000.0,-11259000.0,-3199000.0
Net Income Common Stockholders,-3242000.0,-11259000.0,-3199000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-3242000.0,-11259000.0,-3199000.0
Minority Interests,,4001000.0,1915000.0
Net Income Including Noncontrolling Interests,-3242000.0,-11259000.0,-5114000.0
Net Income Continuous Operations,-3242000.0,-11259000.0,-5114000.0
Tax Provision,0.0,0.0,1000.0
Pretax Income,-3242000.0,-11259000.0,-5113000.0
Special Income Charges,-2931000.0,-10869000.0,0.0
Write Off,2931000.0,10869000.0,
Impairment Of Capital Assets,,3822000.0,0.0
Net Non Operating Interest Income Expense,98000.0,171000.0,-104000.0
Interest Expense Non Operating,,162000.0,104000.0
Interest Income Non Operating,98000.0,171000.0,
Operating Income,-409000.0,-560000.0,-4818000.0
Operating Expense,497000.0,715000.0,6375000.0
Depreciation And Amortization In Income Statement,,1627000.0,1039000.0
Amortization,,1627000.0,1039000.0
Depreciation Income Statement,,0.0,0.0
Research And Development,,1576000.0,1553000.0
Selling General And Administration,647000.0,715000.0,1436000.0
Selling And Marketing Expense,,437000.0,309000.0
General And Administrative Expense,647000.0,715000.0,1127000.0
Gross Profit,88000.0,155000.0,1557000.0
Cost Of Revenue,0.0,0.0,4361000.0
Total Revenue,88000.0,155000.0,5918000.0
Operating Revenue,88000.0,155000.0,5918000.0
