,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,158216258.0,157641914.0,156640000.0,155821936.0
Share Issued,158216258.0,157641914.0,156640000.0,155821936.0
Net Debt,167209000.0,169429000.0,83343000.0,142236000.0
Total Debt,419538000.0,454965000.0,325971000.0,420554000.0
Tangible Book Value,589106000.0,559134000.0,348147000.0,103936000.0
Invested Capital,2387850000.0,2316516000.0,1957680000.0,1904298000.0
Working Capital,458040000.0,492973000.0,429538000.0,358322000.0
Net Tangible Assets,589106000.0,559134000.0,348147000.0,103936000.0
Capital Lease Obligations,100538000.0,104965000.0,70061000.0,79227000.0
Common Stock Equity,2068850000.0,1966516000.0,1701770000.0,1562971000.0
Total Capitalization,2387850000.0,2316516000.0,1945180000.0,1891798000.0
Total Equity Gross Minority Interest,2068850000.0,1966516000.0,1701011000.0,1571234000.0
Minority Interest,0.0,0.0,-759000.0,8263000.0
Stockholders Equity,2068850000.0,1966516000.0,1701770000.0,1562971000.0
Gains Losses Not Affecting Retained Earnings,-78316000.0,-66064000.0,-75200000.0,-57291000.0
Other Equity Adjustments,-78316000.0,-66064000.0,-75200000.0,-57291000.0
Retained Earnings,1325247000.0,1309461000.0,1122937000.0,1085461000.0
Additional Paid In Capital,820337000.0,721543000.0,652467000.0,534411000.0
Capital Stock,1582000.0,1576000.0,1566000.0,390000.0
Common Stock,1582000.0,1576000.0,1566000.0,390000.0
Total Liabilities Net Minority Interest,635017000.0,672176000.0,593794000.0,691723000.0
Total Non Current Liabilities Net Minority Interest,475638000.0,543667000.0,417776000.0,539439000.0
Other Non Current Liabilities,13157000.0,10919000.0,12239000.0,24462000.0
Tradeand Other Payables Non Current,,0.0,5000000.0,25400000.0
Non Current Deferred Liabilities,55863000.0,88982000.0,98994000.0,93125000.0
Non Current Deferred Taxes Liabilities,55863000.0,88982000.0,98994000.0,93125000.0
Long Term Debt And Capital Lease Obligation,406618000.0,443766000.0,301543000.0,396452000.0
Long Term Capital Lease Obligation,87618000.0,93766000.0,58133000.0,67625000.0
Long Term Debt,319000000.0,350000000.0,243410000.0,328827000.0
Current Liabilities,159379000.0,128509000.0,176018000.0,152284000.0
Other Current Liabilities,2151000.0,1413000.0,1243000.0,3891000.0
Current Deferred Liabilities,27930000.0,23069000.0,23406000.0,18995000.0
Current Deferred Revenue,27930000.0,23069000.0,23406000.0,18995000.0
Current Debt And Capital Lease Obligation,12920000.0,11199000.0,24428000.0,24102000.0
Current Capital Lease Obligation,12920000.0,11199000.0,11928000.0,11602000.0
Current Debt,,,12500000.0,12500000.0
Other Current Borrowings,,,12500000.0,12500000.0
Payables And Accrued Expenses,116378000.0,92828000.0,126941000.0,105296000.0
Current Accrued Expenses,74704000.0,51627000.0,79839000.0,66576000.0
Payables,41674000.0,41201000.0,47102000.0,38720000.0
Other Payable,,3500000.0,,4000000.0
Total Tax Payable,3706000.0,12022000.0,13237000.0,5336000.0
Income Tax Payable,3706000.0,12022000.0,13237000.0,5336000.0
Accounts Payable,37968000.0,25679000.0,33865000.0,29384000.0
Total Assets,2703867000.0,2638692000.0,2294805000.0,2262957000.0
Total Non Current Assets,2086448000.0,2017210000.0,1689249000.0,1752351000.0
Other Non Current Assets,12115000.0,12588000.0,46828000.0,11575000.0
Financial Assets,9813000.0,16857000.0,,
Investments And Advances,242337000.0,255857000.0,,
Long Term Equity Investment,242337000.0,255857000.0,,
Investments In Other Ventures Under Equity Method,242337000.0,255857000.0,,
Goodwill And Other Intangible Assets,1479744000.0,1407382000.0,1353623000.0,1459035000.0
Other Intangible Assets,507081000.0,534645000.0,531522000.0,615968000.0
Goodwill,972663000.0,872737000.0,822101000.0,843067000.0
Net PPE,342439000.0,324526000.0,288798000.0,281741000.0
Accumulated Depreciation,-256556000.0,-233712000.0,-211423000.0,-189849000.0
Gross PPE,598995000.0,558238000.0,500221000.0,471590000.0
Construction In Progress,39749000.0,15491000.0,21729000.0,49073000.0
Other Properties,91285000.0,98326000.0,65556000.0,73834000.0
Machinery Furniture Equipment,215948000.0,190019000.0,174813000.0,149410000.0
Buildings And Improvements,243863000.0,245302000.0,229551000.0,190661000.0
Land And Improvements,8150000.0,9100000.0,8572000.0,8612000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,617419000.0,621482000.0,605556000.0,510606000.0
Other Current Assets,33658000.0,27066000.0,22856000.0,16919000.0
Assets Held For Sale Current,9773000.0,0.0,,
Inventory,179731000.0,171638000.0,141123000.0,116748000.0
Finished Goods,100354000.0,87087000.0,61832000.0,61652000.0
Raw Materials,79377000.0,84551000.0,79291000.0,55096000.0
Receivables,241394000.0,218468000.0,194548000.0,145385000.0
Accounts Receivable,241394000.0,218468000.0,194548000.0,145385000.0
Allowance For Doubtful Accounts Receivable,-4386000.0,-4738000.0,-2568000.0,-1229000.0
Gross Accounts Receivable,245780000.0,223206000.0,197116000.0,146614000.0
Cash Cash Equivalents And Short Term Investments,152863000.0,204310000.0,247029000.0,231554000.0
Other Short Term Investments,1072000.0,23739000.0,74462000.0,32463000.0
Cash And Cash Equivalents,151791000.0,180571000.0,172567000.0,199091000.0
