,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-3636790.0,8813980.0,1855724.0,-4752288.0
Tax Rate For Calcs,0.095,0.157,0.127,0.058
Normalized EBITDA,351418000.0,400972000.0,399152000.0,331810000.0
Total Unusual Items,-38282000.0,56140000.0,14612000.0,-81936000.0
Total Unusual Items Excluding Goodwill,-38282000.0,56140000.0,14612000.0,-81936000.0
Net Income From Continuing Operation Net Minority Interest,168105000.0,285263000.0,272051000.0,140410000.0
Reconciled Depreciation,111711000.0,107238000.0,101069000.0,87747000.0
Reconciled Cost Of Revenue,309334000.0,291725000.0,280526000.0,238223000.0
EBITDA,313136000.0,457112000.0,413764000.0,249874000.0
EBIT,201425000.0,349874000.0,312695000.0,162127000.0
Net Interest Income,-12413000.0,-7805000.0,-10515000.0,-13479000.0
Interest Expense,15736000.0,11215000.0,11309000.0,13952000.0
Interest Income,3323000.0,3410000.0,794000.0,473000.0
Normalized Income,202750210.0,237936980.0,259294724.0,217593712.0
Net Income From Continuing And Discontinued Operation,168105000.0,285263000.0,272051000.0,140410000.0
Total Expenses,916165000.0,845704000.0,809771000.0,688342000.0
Total Operating Income As Reported,206686000.0,298944000.0,296590000.0,237296000.0
Diluted Average Shares,160774000.0,161855000.0,164116000.0,161932000.0
Basic Average Shares,157708000.0,157179000.0,156876000.0,154988000.0
Diluted EPS,1.05,1.76,1.6575,0.8675
Basic EPS,1.07,1.81,1.7325,0.905
Diluted NI Availto Com Stockholders,168072000.0,285193000.0,271930000.0,140324000.0
Net Income Common Stockholders,168072000.0,285193000.0,271930000.0,140324000.0
Otherunder Preferred Stock Dividend,33000.0,70000.0,121000.0,86000.0
Net Income,168105000.0,285263000.0,272051000.0,140410000.0
Minority Interests,0.0,-179000.0,8952000.0,825000.0
Net Income Including Noncontrolling Interests,168105000.0,285442000.0,263099000.0,139585000.0
Net Income Continuous Operations,168105000.0,285442000.0,263099000.0,139585000.0
Tax Provision,17584000.0,53217000.0,38287000.0,8590000.0
Pretax Income,185689000.0,338659000.0,301386000.0,148175000.0
Other Income Expense,-44793000.0,55466000.0,16073000.0,-81036000.0
Other Non Operating Income Expenses,330000.0,469000.0,1461000.0,900000.0
Special Income Charges,-37839000.0,6136000.0,-1273000.0,-7239000.0
Write Off,21963000.0,0.0,18715000.0,0.0
Restructuring And Mergern Acquisition,15876000.0,-6136000.0,-17442000.0,7239000.0
Earnings From Equity Interest,-6841000.0,-1143000.0,0.0,0.0
Gain On Sale Of Security,-443000.0,50004000.0,15885000.0,-74697000.0
Net Non Operating Interest Income Expense,-12413000.0,-7805000.0,-10515000.0,-13479000.0
Interest Expense Non Operating,15736000.0,11215000.0,11309000.0,13952000.0
Interest Income Non Operating,3323000.0,3410000.0,794000.0,473000.0
Operating Income,242895000.0,290998000.0,295828000.0,242690000.0
Operating Expense,526830000.0,478817000.0,460668000.0,390160000.0
Other Taxes,1630000.0,1810000.0,2035000.0,1845000.0
Depreciation Amortization Depletion Income Statement,31710000.0,32076000.0,32492000.0,27788000.0
Depreciation And Amortization In Income Statement,31710000.0,32076000.0,32492000.0,27788000.0
Amortization,31710000.0,32076000.0,32492000.0,27788000.0
Amortization Of Intangibles Income Statement,31710000.0,32076000.0,32492000.0,27788000.0
Research And Development,96664000.0,92493000.0,87140000.0,70603000.0
Selling General And Administration,396826000.0,352438000.0,339001000.0,289924000.0
General And Administrative Expense,396826000.0,352438000.0,339001000.0,289924000.0
Other Gand A,357374000.0,312169000.0,293916000.0,239724000.0
Salaries And Wages,39452000.0,40269000.0,45085000.0,50200000.0
Gross Profit,769725000.0,769815000.0,756496000.0,632850000.0
Cost Of Revenue,389335000.0,366887000.0,349103000.0,298182000.0
Total Revenue,1159060000.0,1136702000.0,1105599000.0,931032000.0
Operating Revenue,1159060000.0,1136702000.0,1105599000.0,931032000.0
