,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Treasury Shares Number,0.0,0.0,,
Ordinary Shares Number,653102371.0,275852371.0,142519038.0,142519038.0
Share Issued,653102371.0,275852371.0,142519038.0,142519038.0
Net Debt,3406823.0,4430766.0,4681668.0,4572295.0
Total Debt,3415729.0,4447914.0,4694421.0,4818488.0
Tangible Book Value,-2836846.0,-3348698.0,-3272607.0,-2962230.0
Invested Capital,578883.0,1099216.0,1421814.0,1856258.0
Working Capital,418742.0,198666.0,550980.0,-120258.0
Net Tangible Assets,-2836846.0,-3348698.0,-3272607.0,-2962230.0
Common Stock Equity,-2836846.0,-3348698.0,-3272607.0,-2962230.0
Total Capitalization,419383.0,224519.0,552117.0,1856258.0
Total Equity Gross Minority Interest,-2836846.0,-3348698.0,-3272607.0,-2962230.0
Stockholders Equity,-2836846.0,-3348698.0,-3272607.0,-2962230.0
Other Equity Interest,2584298.0,2691502.0,2614601.0,71074.0
Retained Earnings,-7793000.0,-7383481.0,-6620120.0,-6192737.0
Additional Paid In Capital,4136240.0,3484915.0,3250249.0,3250249.0
Capital Stock,653102.0,275852.0,142519.0,2726817.0
Common Stock,653102.0,275852.0,142519.0,2726817.0
Total Liabilities Net Minority Interest,3701342.0,4670777.0,5064654.0,5297002.0
Total Non Current Liabilities Net Minority Interest,3256228.0,3573217.0,3824724.0,4818488.0
Other Non Current Liabilities,-1.0,,,
Non Current Deferred Taxes Liabilities,0.0,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,3256229.0,3573217.0,3824724.0,4818488.0
Long Term Debt,3256229.0,3573217.0,3824724.0,4818488.0
Current Liabilities,445114.0,1097560.0,1239930.0,478514.0
Current Debt And Capital Lease Obligation,159500.0,874697.0,869697.0,0.0
Current Debt,159500.0,874697.0,869697.0,0.0
Payables,164875.0,136908.0,29093.0,46013.0
Total Tax Payable,12130.0,14211.0,5378.0,22575.0
Accounts Payable,152745.0,122697.0,23715.0,23438.0
Total Assets,864496.0,1322079.0,1792047.0,2334772.0
Total Non Current Assets,640.0,25853.0,1137.0,1976516.0
Investment Properties,,,0.0,1975000.0
Net PPE,640.0,25853.0,1137.0,1516.0
Accumulated Depreciation,-7150.0,-6937.0,-6653.0,-6274.0
Gross PPE,7790.0,32790.0,7790.0,7790.0
Machinery Furniture Equipment,7790.0,32790.0,7790.0,7790.0
Current Assets,863856.0,1296226.0,1790910.0,358256.0
Prepaid Assets,26840.0,22276.0,25670.0,21684.0
Inventory,775374.0,1245045.0,1737657.0,78608.0
Finished Goods,0.0,927249.0,1712000.0,0.0
Work In Process,775374.0,317796.0,25657.0,78608.0
Other Receivables,39269.0,2300.0,2300.0,700.0
Taxes Receivable,13467.0,9457.0,12530.0,11071.0
Cash Cash Equivalents And Short Term Investments,8906.0,17148.0,12753.0,246193.0
Cash And Cash Equivalents,8906.0,17148.0,12753.0,246193.0
