,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-909751.0,-642966.0,-352839.0,939923.0
Repayment Of Debt,-2038261.0,-619943.0,-462341.0,-1816431.0
Issuance Of Debt,1006075.0,293269.0,297500.0,481588.0
Issuance Of Capital Stock,1028575.0,368100.0,0.0,683137.0
Capital Expenditure,,-25000.0,,-599.0
End Cash Position,8906.0,17148.0,12753.0,246193.0
Beginning Cash Position,17148.0,12753.0,246193.0,27969.0
Changes In Cash,-8242.0,4395.0,-233440.0,218224.0
Financing Cash Flow,-25740.0,-2257.0,-233101.0,-721699.0
Interest Paid Cff,-22129.0,-43683.0,-68260.0,-69993.0
Net Common Stock Issuance,1028575.0,368100.0,0.0,683137.0
Common Stock Issuance,1028575.0,368100.0,0.0,683137.0
Net Issuance Payments Of Debt,-1032186.0,-326674.0,-164841.0,-1334843.0
Net Long Term Debt Issuance,-1032186.0,-326674.0,-164841.0,-1334843.0
Long Term Debt Payments,-2038261.0,-619943.0,-462341.0,-1816431.0
Long Term Debt Issuance,1006075.0,293269.0,297500.0,481588.0
Investing Cash Flow,927249.0,624618.0,352500.0,-599.0
Net Investment Properties Purchase And Sale,927249.0,649618.0,352500.0,
Sale Of Investment Properties,927249.0,649618.0,,
Net PPE Purchase And Sale,0.0,-25000.0,352500.0,-599.0
Purchase Of PPE,0.0,-25000.0,,-599.0
Operating Cash Flow,-909751.0,-617966.0,-352839.0,940522.0
Interest Paid Cfo,,123848.0,171714.0,214260.0
Change In Working Capital,-440370.0,-220421.0,-8049.0,1054950.0
Change In Payable,62751.0,95001.0,-53958.0,-70290.0
Change In Inventory,-457578.0,-321889.0,52954.0,1134084.0
Change In Receivables,-45543.0,6467.0,-7045.0,-8844.0
Other Non Cash Items,22129.0,280914.0,230667.0,214260.0
Depreciation And Amortization,213.0,284.0,379.0,506.0
Depreciation,213.0,284.0,379.0,506.0
Gain Loss On Investment Securities,,135133.0,-89500.0,
Gain Loss On Sale Of PPE,,,22500.0,0.0
Net Income From Continuing Operations,-516723.0,-843626.0,-486336.0,-329194.0
