,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-362177.0,-719494.0,-314243.0,-141451.0
Total Unusual Items,-25000.0,0.0,0.0,27023.0
Total Unusual Items Excluding Goodwill,-25000.0,0.0,0.0,27023.0
Net Income From Continuing Operation Net Minority Interest,-516723.0,-843626.0,-486336.0,-329194.0
Reconciled Depreciation,213.0,284.0,379.0,506.0
Reconciled Cost Of Revenue,-78.0,30900.0,3159.0,1963794.0
EBITDA,-387177.0,-719494.0,-314243.0,-114428.0
EBIT,-387390.0,-719778.0,-314622.0,-114934.0
Net Interest Income,-129333.0,-123848.0,-171714.0,-214260.0
Interest Expense,129333.0,123848.0,171714.0,214260.0
Normalized Income,-491723.0,-843626.0,-486336.0,-356217.0
Net Income From Continuing And Discontinued Operation,-516723.0,-843626.0,-486336.0,-329194.0
Total Expenses,379548.0,602828.0,462814.0,2427757.0
Rent Expense Supplemental,19705.0,19740.0,,
Total Operating Income As Reported,-404548.0,-719778.0,-314622.0,-141957.0
Diluted Average Shares,354915789.0,249525835.0,142519038.0,95644038.0
Basic Average Shares,354915789.0,249525835.0,142519038.0,95644038.0
Diluted EPS,-0.0015,-0.0034,-0.0034,-0.0034
Basic EPS,-0.0015,-0.0034,-0.0034,-0.0034
Diluted NI Availto Com Stockholders,-516723.0,-843626.0,-486336.0,-329194.0
Net Income Common Stockholders,-516723.0,-843626.0,-486336.0,-329194.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-516723.0,-843626.0,-486336.0,-329194.0
Net Income Including Noncontrolling Interests,-516723.0,-843626.0,-486336.0,-329194.0
Net Income Continuous Operations,-516723.0,-843626.0,-486336.0,-329194.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-516723.0,-843626.0,-486336.0,-329194.0
Other Non Operating Income Expenses,17158.0,,,
Special Income Charges,-25000.0,0.0,0.0,27023.0
Other Special Charges,,,,-27023.0
Write Off,,,,0.0
Impairment Of Capital Assets,25000.0,0.0,,
Net Non Operating Interest Income Expense,-129333.0,-123848.0,-171714.0,-214260.0
Interest Expense Non Operating,129333.0,123848.0,171714.0,214260.0
Operating Income,-379548.0,-584645.0,-397975.0,-141957.0
Operating Expense,379626.0,571928.0,459655.0,463963.0
Other Operating Expenses,,85812.0,142646.0,
Depreciation And Amortization In Income Statement,213.0,284.0,379.0,
Depreciation Income Statement,213.0,284.0,379.0,
Selling General And Administration,255275.0,323720.0,317220.0,463963.0
General And Administrative Expense,255275.0,323720.0,317220.0,463963.0
Rent And Landing Fees,19705.0,19740.0,,
Gross Profit,78.0,-12717.0,61680.0,322006.0
Cost Of Revenue,-78.0,30900.0,3159.0,1963794.0
Total Revenue,0.0,18183.0,64839.0,2285800.0
Operating Revenue,0.0,18183.0,64839.0,2285800.0
