Metric,Value
address1,Chequers Barn
address2,Chequers Hill Bough Beech
city,Edenbridge
zip,TN8 7PD
country,United Kingdom
phone,44 1732 700 000
website,https://www.trafalgarproperty.group
industry,Real Estate - Development
industryKey,real-estate-development
industryDisp,Real Estate - Development
sector,Real Estate
sectorKey,real-estate
sectorDisp,Real Estate
longBusinessSummary,"Trafalgar Property Group plc, through its subsidiaries, engages in residual property development business in the United Kingdom. The company undertakes residential property and assisted living projects. It also engages in renting of residential property related activities. The company was formerly known as Trafalgar New Homes Plc and changed its name to Trafalgar Property Group plc in March 2018. Trafalgar Property Group plc was incorporated in 2001 and is based in Edenbridge, the United Kingdom."
fullTimeEmployees,5
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Paul Arthur Treadaway', 'age': 73, 'title': 'CEO, MD & Chairman', 'yearBorn': 1951, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Gary Martin Thorneycroft', 'age': 64, 'title': 'CFO & Director', 'yearBorn': 1960, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Paul Francis Challinor', 'age': 64, 'title': 'Executive Director', 'yearBorn': 1960, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicholas William Narraway', 'title': 'Secretary', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.0375
open,0.035
dayLow,0.0348
dayHigh,0.03645
regularMarketPreviousClose,0.0375
regularMarketOpen,0.035
regularMarketDayLow,0.0348
regularMarketDayHigh,0.03645
payoutRatio,0.0
beta,1.029
volume,2309811
regularMarketVolume,2309811
averageVolume,12836260
averageVolume10days,64906517
averageDailyVolume10Day,64906517
bid,0.03
ask,0.035
bidSize,0
askSize,0
marketCap,285789
fiftyTwoWeekLow,0.0006
fiftyTwoWeekHigh,0.093
priceToSalesTrailing12Months,285.789
fiftyDayAverage,0.04222
twoHundredDayAverage,0.03762
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,4519896
profitMargins,0.0
floatShares,312398457
sharesOutstanding,879352000
heldPercentInsiders,0.52196
heldPercentInstitutions,0.0
impliedSharesOutstanding,879353024
bookValue,-0.004
lastFiscalYearEnd,1711843200
nextFiscalYearEnd,1743379200
mostRecentQuarter,1727654400
netIncomeToCommon,-385723
trailingEps,-0.0
lastSplitFactor,1:10
lastSplitDate,1609286400
enterpriseToRevenue,4519.896
enterpriseToEbitda,-10.987
52WeekChange,54.0
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.0325
recommendationKey,none
totalCash,53000
totalCashPerShare,0.0
ebitda,-411370
totalDebt,4279000
quickRatio,0.171
currentRatio,1.309
totalRevenue,1000
revenuePerShare,0.0
returnOnAssets,-0.21615
grossProfits,1078
freeCashflow,-1258713
operatingCashflow,-1412751
grossMargins,1.0780001
ebitdaMargins,0.0
operatingMargins,-191.0
financialCurrency,GBP
symbol,TRAF.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
cryptoTradeable,False
shortName,TRAFALGAR PROPERTY GROUP PLC OR
longName,Trafalgar Property Group plc
hasPrePostMarketData,False
firstTradeDateMilliseconds,1373958000000
regularMarketChange,-0.0050000027
regularMarketDayRange,0.0348 - 0.03645
fullExchangeName,LSE
averageDailyVolume3Month,12836260
fiftyTwoWeekLowChange,0.0319
fiftyTwoWeekLowChangePercent,53.166664
fiftyTwoWeekRange,6.0E-4 - 0.093
fiftyTwoWeekHighChange,-0.060500003
fiftyTwoWeekHighChangePercent,-0.65053767
fiftyTwoWeekChangePercent,5400.0
earningsTimestampStart,1628161140
earningsTimestampEnd,1628251200
epsTrailingTwelveMonths,-0.0
fiftyDayAverageChange,-0.009720001
fiftyDayAverageChangePercent,-0.23022267
twoHundredDayAverageChange,-0.0051200017
twoHundredDayAverageChangePercent,-0.13609786
priceToBook,-8.124999
sourceInterval,15
exchangeDataDelayedBy,15
marketState,CLOSED
corporateActions,[]
regularMarketTime,1751638117
exchange,LSE
messageBoardId,finmb_224874512
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-13.33334
regularMarketPrice,0.0325
trailingPegRatio,
