Metric,Value
longBusinessSummary,"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size, and small U.S. companies within the industrials sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index."
companyOfficers,[]
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,282.14
open,282.78
dayLow,282.88
dayHigh,284.7993
regularMarketPreviousClose,282.14
regularMarketOpen,282.78
regularMarketDayLow,282.88
regularMarketDayHigh,284.7993
trailingPE,26.831789
volume,33805
regularMarketVolume,33805
averageVolume,93332
averageVolume10days,46200
averageDailyVolume10Day,46200
bid,268.43
ask,300.86
bidSize,5
askSize,2
yield,0.0121
totalAssets,5881730048
fiftyTwoWeekLow,213.26
fiftyTwoWeekHigh,284.8
fiftyDayAverage,266.5472
twoHundredDayAverage,261.22034
trailingAnnualDividendRate,2.202
trailingAnnualDividendYield,0.0078046354
navPrice,274.52
currency,USD
tradeable,False
category,Industrials
ytdReturn,6.32419
beta3Year,1.19
fundFamily,Vanguard
fundInceptionDate,1147046400
legalType,Exchange Traded Fund
threeYearAverageReturn,0.17584789
fiveYearAverageReturn,0.1593553
quoteType,ETF
symbol,VIS
language,en-US
region,US
typeDisp,ETF
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
marketState,CLOSED
hasPrePostMarketData,True
firstTradeDateMilliseconds,1096464600000
messageBoardId,finmb_22939114
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
corporateActions,[]
postMarketTime,1751573401
regularMarketTime,1751561484
exchange,PCX
cryptoTradeable,False
postMarketChangePercent,-1.8686311
postMarketPrice,279.15
postMarketChange,-5.315613
regularMarketChange,2.32559
regularMarketDayRange,282.88 - 284.7993
fullExchangeName,NYSEArca
financialCurrency,USD
averageDailyVolume3Month,93332
fiftyTwoWeekLowChange,71.20601
fiftyTwoWeekLowChangePercent,0.33389294
fiftyTwoWeekRange,213.26 - 284.8
fiftyTwoWeekHighChange,-0.33398438
fiftyTwoWeekHighChangePercent,-0.001172698
fiftyTwoWeekChangePercent,21.55279
dividendYield,1.21
trailingThreeMonthReturns,4.23941
trailingThreeMonthNavReturns,4.23941
netAssets,5881730000.0
epsTrailingTwelveMonths,10.601828
sharesOutstanding,24431600
bookValue,187.867
fiftyDayAverageChange,17.918793
fiftyDayAverageChangePercent,0.06722559
twoHundredDayAverageChange,23.245667
twoHundredDayAverageChangePercent,0.08898873
netExpenseRatio,0.09
marketCap,6949959680
priceToBook,1.5141882
sourceInterval,15
exchangeDataDelayedBy,0
shortName,Vanguard Industrials ETF
longName,Vanguard Industrials Index Fund ETF Shares
regularMarketChangePercent,0.824269
regularMarketPrice,284.466
trailingPegRatio,
