Metric,Value
longBusinessSummary,"The fund employs an indexing investment approach designed to track the performance of the index, an index made up of stocks of large, mid-size and small U.S. companies within the communication services sector, as classified under the GICS. The Advisor attempts to replicate the target index by seeking to invest all of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
companyOfficers,[]
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,169.85
open,171.01
dayLow,170.4
dayHigh,171.29
regularMarketPreviousClose,169.85
regularMarketOpen,171.01
regularMarketDayLow,170.4
regularMarketDayHigh,171.29
trailingPE,20.942865
volume,97594
regularMarketVolume,97594
averageVolume,257280
averageVolume10days,166910
averageDailyVolume10Day,166910
bid,165.96
ask,180.83
bidSize,1
askSize,1
yield,0.0106
totalAssets,4936823296
fiftyTwoWeekLow,127.35
fiftyTwoWeekHigh,171.74
fiftyDayAverage,158.7682
twoHundredDayAverage,154.60864
trailingAnnualDividendRate,0.896
trailingAnnualDividendYield,0.005275243
navPrice,164.07
currency,USD
tradeable,False
category,Communications
ytdReturn,3.13143
beta3Year,1.09
fundFamily,Vanguard
fundInceptionDate,1110499200
legalType,Exchange Traded Fund
threeYearAverageReturn,0.1897806
fiveYearAverageReturn,0.120673
quoteType,ETF
symbol,VOX
language,en-US
region,US
typeDisp,ETF
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
exchange,PCX
messageBoardId,finmb_22939518
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
regularMarketChangePercent,0.582861
regularMarketPrice,170.84
corporateActions,[]
postMarketTime,1751567948
regularMarketTime,1751562000
marketState,CLOSED
shortName,Vanguard Communication Services
longName,Vanguard Communication Services Index Fund ETF Shares
hasPrePostMarketData,True
firstTradeDateMilliseconds,1096464600000
postMarketChangePercent,-1.6506627
postMarketPrice,168.02
postMarketChange,-2.819992
regularMarketChange,0.98999
regularMarketDayRange,170.4 - 171.29
fullExchangeName,NYSEArca
financialCurrency,USD
averageDailyVolume3Month,257280
fiftyTwoWeekLowChange,43.489998
fiftyTwoWeekLowChangePercent,0.3414998
fiftyTwoWeekRange,127.35 - 171.74
fiftyTwoWeekHighChange,-0.90000916
fiftyTwoWeekHighChangePercent,-0.005240533
fiftyTwoWeekChangePercent,21.35247
dividendYield,1.06
trailingThreeMonthReturns,-0.37316
trailingThreeMonthNavReturns,-0.37316
netAssets,4936823300.0
epsTrailingTwelveMonths,8.157432
sharesOutstanding,18289800
bookValue,146.313
fiftyDayAverageChange,12.071793
fiftyDayAverageChangePercent,0.07603407
twoHundredDayAverageChange,16.231354
twoHundredDayAverageChangePercent,0.104983486
netExpenseRatio,0.09
marketCap,3124629248
priceToBook,1.1676338
sourceInterval,15
exchangeDataDelayedBy,0
cryptoTradeable,False
trailingPegRatio,
