,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Treasury Shares Number,,0.0,,
Ordinary Shares Number,144051486.0,144051486.0,144051486.0,144051486.0
Share Issued,144051486.0,144051486.0,144051486.0,144051486.0
Tangible Book Value,4502206.0,5247940.0,8222210.0,15649460.0
Invested Capital,4502206.0,5247940.0,8222210.0,15649460.0
Working Capital,227921.0,468738.0,960306.0,1183829.0
Net Tangible Assets,4502206.0,5247940.0,8222210.0,15649460.0
Common Stock Equity,4502206.0,5247940.0,8222210.0,15649460.0
Total Capitalization,4502206.0,5247940.0,8222210.0,15649460.0
Total Equity Gross Minority Interest,4502206.0,5247940.0,8222210.0,15649460.0
Stockholders Equity,4502206.0,5247940.0,8222210.0,15649460.0
Other Equity Interest,469670.0,469670.0,469670.0,469670.0
Retained Earnings,-12619946.0,-11874212.0,-8899942.0,-1472692.0
Capital Stock,16652482.0,16652482.0,16652482.0,16652482.0
Common Stock,16652482.0,16652482.0,16652482.0,16652482.0
Total Liabilities Net Minority Interest,50784.0,54439.0,52930.0,39534.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,50784.0,54439.0,52930.0,39534.0
Payables,0.0,0.0,0.0,0.0
Total Assets,4552990.0,5302379.0,8275140.0,15688994.0
Total Non Current Assets,4274285.0,4779202.0,7261904.0,14465631.0
Investmentin Financial Assets,4274285.0,4779202.0,7261904.0,14465631.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,4274285.0,4779202.0,7261904.0,14465631.0
Current Assets,278705.0,523177.0,1013236.0,1223363.0
Prepaid Assets,31554.0,33161.0,,4441.0
Other Receivables,24847.0,11816.0,,
Accounts Receivable,,,10146.0,4441.0
Cash Cash Equivalents And Short Term Investments,222304.0,478200.0,1003090.0,1218922.0
Cash And Cash Equivalents,222304.0,478200.0,1003090.0,1218922.0
Cash Equivalents,-85.0,2631.0,537589.0,537856.0
Cash Financial,222389.0,475569.0,465501.0,681066.0
