,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-255896.0,-289374.0,-215832.0,-760194.0
Repayment Of Debt,,,,-456548.0
Issuance Of Debt,,,0.0,
Issuance Of Capital Stock,,,,0.0
End Cash Position,222304.0,478200.0,1003090.0,1218922.0
Beginning Cash Position,478200.0,1003090.0,1218922.0,2435664.0
Changes In Cash,-255896.0,-524890.0,-215832.0,-1216742.0
Financing Cash Flow,,,0.0,-456548.0
Net Common Stock Issuance,,,,0.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,,,0.0,-456548.0
Net Short Term Debt Issuance,,,0.0,
Short Term Debt Issuance,,,0.0,
Net Long Term Debt Issuance,,,,-456548.0
Long Term Debt Payments,,,,-456548.0
Investing Cash Flow,0.0,-235516.0,,
Net Investment Purchase And Sale,0.0,-235516.0,,
Sale Of Investment,0.0,299320.0,,
Purchase Of Investment,0.0,-534836.0,,
Operating Cash Flow,-255896.0,-289374.0,-215832.0,-760194.0
Change In Working Capital,-2103.0,-33322.0,7691.0,-11315.0
Change In Payable,-3655.0,1509.0,13395.0,-6874.0
Change In Receivables,1552.0,-34831.0,-5704.0,-4441.0
Other Non Cash Items,,,,33702.0
Stock Based Compensation,,,0.0,25877.0
Gain Loss On Investment Securities,491941.0,2718218.0,7203727.0,589083.0
Net Income From Continuing Operations,-745734.0,-2974270.0,-7427250.0,-1016219.0
