,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,226026.0,2465147.0,-223523.0,-393434.0
Total Unusual Items,-491941.0,-2718218.0,-7203727.0,-589083.0
Total Unusual Items Excluding Goodwill,-491941.0,-2718218.0,-7203727.0,-589083.0
Net Income From Continuing Operation Net Minority Interest,-745734.0,-2974270.0,-7427250.0,-1016219.0
EBITDA,-265915.0,-253071.0,-7427250.0,-982517.0
EBIT,-265915.0,-253071.0,-7427250.0,-982517.0
Net Interest Income,3320.0,9096.0,133.0,-33702.0
Interest Expense,,,0.0,33702.0
Interest Income,3320.0,9096.0,133.0,0.0
Normalized Income,-253793.0,-256052.0,-223523.0,-427136.0
Net Income From Continuing And Discontinued Operation,-745734.0,-2974270.0,-7427250.0,-1016219.0
Total Expenses,265915.0,253071.0,247627.0,293274.0
Total Operating Income As Reported,-745734.0,-2974270.0,-7427250.0,-1016219.0
Diluted Average Shares,144051486.0,144051486.0,144051486.0,141772198.0
Basic Average Shares,144051486.0,144051486.0,144051486.0,140364390.0
Diluted EPS,-0.0052,-0.0206,-0.0516,-0.0072
Basic EPS,-0.0052,-0.0206,-0.0516,-0.0072
Diluted NI Availto Com Stockholders,-745734.0,-2974270.0,-7427250.0,-1016219.0
Net Income Common Stockholders,-745734.0,-2974270.0,-7427250.0,-1016219.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-745734.0,-2974270.0,-7427250.0,-1016219.0
Net Income Including Noncontrolling Interests,-745734.0,-2974270.0,-7427250.0,-1016219.0
Net Income Continuous Operations,-745734.0,-2974270.0,-7427250.0,-1016219.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-745734.0,-2974270.0,-7427250.0,-1016219.0
Special Income Charges,,,,0.0
Impairment Of Capital Assets,,,,0.0
Net Non Operating Interest Income Expense,3320.0,9096.0,133.0,-33702.0
Interest Expense Non Operating,,,0.0,33702.0
Interest Income Non Operating,3320.0,9096.0,133.0,0.0
Operating Income,-265915.0,-253071.0,-247627.0,-293274.0
Operating Expense,265915.0,253071.0,247627.0,293274.0
Selling General And Administration,205915.0,193071.0,187627.0,207397.0
General And Administrative Expense,205915.0,193071.0,187627.0,207397.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
