Metric,Value
address1,Floor 4
address2,Liberation House Castle Street
city,Saint Helier
zip,JE1 4HH
country,Jersey
phone,0044 1534 823059
website,https://www.westmountenergy.com
industry,Oil & Gas E&P
industryKey,oil-gas-e-p
industryDisp,Oil & Gas E&P
sector,Energy
sectorKey,energy
sectorDisp,Energy
longBusinessSummary,"Westmount Energy Limited is a venture capital firm specializing in seed capital to small medium sized companies. The firm invests in Guyana-Suriname Basin regions. Westmount Energy Limited was incorporated in October 1, 1992 and is based in Saint Helier, Jersey."
companyOfficers,"[{'maxAge': 1, 'name': 'Dr. Dermot  Corcoran Ph.D.', 'age': 64, 'title': 'Executive Director', 'yearBorn': 1960, 'fiscalYear': 2024, 'totalPay': 23940, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.5
open,0.0
dayLow,0.0
dayHigh,0.0
regularMarketPreviousClose,0.5
regularMarketOpen,0.0
regularMarketDayLow,0.0
regularMarketDayHigh,0.0
payoutRatio,0.0
beta,-0.067
volume,244000
regularMarketVolume,244000
averageVolume,160282
averageVolume10days,48663
averageDailyVolume10Day,48663
bid,0.45
ask,0.55
bidSize,0
askSize,0
marketCap,720255
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,1.5
fiftyDayAverage,0.4925
twoHundredDayAverage,0.7170925
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,620695
profitMargins,0.0
floatShares,122102864
sharesOutstanding,144051008
heldPercentInsiders,0.28917
heldPercentInstitutions,0.10831001
impliedSharesOutstanding,151632992
bookValue,0.03
priceToBook,16.666668
lastFiscalYearEnd,1719705600
nextFiscalYearEnd,1751241600
mostRecentQuarter,1735603200
netIncomeToCommon,-314478
trailingEps,-0.01
lastSplitFactor,2:1
lastSplitDate,1296518400
52WeekChange,-0.6296296
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.5
recommendationKey,none
totalCash,98886
totalCashPerShare,0.001
totalDebt,0
quickRatio,3.395
currentRatio,3.395
returnOnAssets,-0.037019998
returnOnEquity,-0.071
freeCashflow,-166314
operatingCashflow,-247027
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,0.0
financialCurrency,GBP
symbol,WTE.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
regularMarketChangePercent,0.0
regularMarketPrice,0.5
hasPrePostMarketData,False
firstTradeDateMilliseconds,812617200000
regularMarketChange,0.0
regularMarketDayRange,0.0 - 0.0
fullExchangeName,LSE
averageDailyVolume3Month,160282
fiftyTwoWeekLowChange,0.5
fiftyTwoWeekRange,0.0 - 1.5
fiftyTwoWeekHighChange,-1.0
fiftyTwoWeekHighChangePercent,-0.6666667
fiftyTwoWeekChangePercent,-62.96296
earningsTimestampStart,1617274740
earningsTimestampEnd,1617364800
epsTrailingTwelveMonths,-0.01
fiftyDayAverageChange,0.007499993
fiftyDayAverageChangePercent,0.015228412
twoHundredDayAverageChange,-0.21709251
twoHundredDayAverageChangePercent,-0.3027399
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
shortName,WESTMOUNT ENERGY LIMITED ORD NP
longName,Westmount Energy Limited
corporateActions,[]
regularMarketTime,1751533706
exchange,LSE
messageBoardId,finmb_881906
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
marketState,CLOSED
trailingPegRatio,
