,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,140225973.0,106350973.0,93384053.0,93384053.0,
Share Issued,140225973.0,106350973.0,93384053.0,93384053.0,
Net Debt,,,,,49000.0
Total Debt,17000.0,121000.0,160000.0,198000.0,
Tangible Book Value,-848000.0,-288000.0,899000.0,2933000.0,
Invested Capital,1515000.0,2086000.0,3284000.0,5329000.0,
Working Capital,-831000.0,-262000.0,931000.0,2974000.0,
Net Tangible Assets,-848000.0,-288000.0,899000.0,2933000.0,
Capital Lease Obligations,0.0,93000.0,121000.0,148000.0,
Common Stock Equity,1498000.0,2058000.0,3245000.0,5279000.0,
Total Capitalization,1515000.0,2086000.0,3284000.0,5329000.0,
Total Equity Gross Minority Interest,1498000.0,2058000.0,3245000.0,5279000.0,
Stockholders Equity,1498000.0,2058000.0,3245000.0,5279000.0,
Other Equity Interest,57000.0,73000.0,161000.0,161000.0,
Retained Earnings,-6073000.0,-4851000.0,-3252000.0,-1218000.0,
Additional Paid In Capital,7442000.0,6798000.0,6310000.0,6310000.0,
Capital Stock,140000.0,106000.0,94000.0,94000.0,
Common Stock,140000.0,106000.0,94000.0,94000.0,
Total Liabilities Net Minority Interest,1151000.0,789000.0,354000.0,333000.0,
Total Non Current Liabilities Net Minority Interest,17000.0,121000.0,160000.0,198000.0,
Other Non Current Liabilities,,,-1000.0,,
Long Term Debt And Capital Lease Obligation,17000.0,121000.0,160000.0,198000.0,
Long Term Capital Lease Obligation,0.0,93000.0,121000.0,148000.0,
Long Term Debt,17000.0,28000.0,39000.0,50000.0,
Current Liabilities,1134000.0,668000.0,194000.0,135000.0,
Other Current Liabilities,,,1000.0,,
Current Debt And Capital Lease Obligation,,,,0.0,200000.0
Current Debt,,,,0.0,200000.0
Payables,1068000.0,629000.0,119000.0,77000.0,
Other Payable,649000.0,250000.0,44000.0,13000.0,
Accounts Payable,419000.0,379000.0,75000.0,64000.0,
Total Assets,2649000.0,2847000.0,3599000.0,5612000.0,
Total Non Current Assets,2346000.0,2441000.0,2474000.0,2503000.0,
Non Current Deferred Taxes Assets,,,,0.0,15000.0
Goodwill And Other Intangible Assets,2346000.0,2346000.0,2346000.0,2346000.0,
Goodwill,2346000.0,2346000.0,2346000.0,2346000.0,
Net PPE,0.0,95000.0,128000.0,157000.0,
Accumulated Depreciation,-171000.0,-76000.0,-42000.0,-9000.0,
Gross PPE,171000.0,171000.0,170000.0,166000.0,
Other Properties,157000.0,157000.0,157000.0,157000.0,
Machinery Furniture Equipment,14000.0,14000.0,13000.0,9000.0,
Current Assets,303000.0,406000.0,1125000.0,3109000.0,
Other Current Assets,,-10000.0,,,
Inventory,131000.0,155000.0,51000.0,0.0,
Other Receivables,82000.0,97000.0,272000.0,7000.0,
Taxes Receivable,,0.0,14000.0,160000.0,2000.0
Accounts Receivable,54000.0,66000.0,6000.0,6000.0,
Allowance For Doubtful Accounts Receivable,-80000.0,-99000.0,-6000.0,0.0,
Gross Accounts Receivable,134000.0,165000.0,12000.0,6000.0,
Cash Cash Equivalents And Short Term Investments,36000.0,98000.0,782000.0,2936000.0,
Cash And Cash Equivalents,36000.0,98000.0,782000.0,2936000.0,
