,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Free Cash Flow,-740000.0,-1184000.0,-2153000.0,-1053000.0
Issuance Of Debt,,,0.0,180000.0
Issuance Of Capital Stock,678000.0,500000.0,0.0,3609000.0
Capital Expenditure,,-1000.0,-1000.0,-8000.0
End Cash Position,36000.0,98000.0,782000.0,2936000.0
Other Cash Adjustment Outside Changein Cash,,,-1000.0,-1000.0
Beginning Cash Position,98000.0,782000.0,2936000.0,201000.0
Changes In Cash,-62000.0,-684000.0,-2153000.0,2736000.0
Financing Cash Flow,678000.0,500000.0,0.0,3789000.0
Net Common Stock Issuance,678000.0,500000.0,0.0,3609000.0
Common Stock Issuance,678000.0,500000.0,0.0,3609000.0
Net Issuance Payments Of Debt,,,0.0,180000.0
Net Long Term Debt Issuance,,,0.0,180000.0
Long Term Debt Issuance,,,0.0,180000.0
Investing Cash Flow,0.0,-1000.0,-1000.0,-8000.0
Net PPE Purchase And Sale,0.0,-1000.0,-1000.0,
Purchase Of PPE,0.0,-1000.0,-1000.0,
Capital Expenditure Reported,,,-1000.0,-8000.0
Operating Cash Flow,-740000.0,-1183000.0,-2152000.0,-1045000.0
Interest Paid Cfo,-7000.0,-18000.0,0.0,
Change In Working Capital,492000.0,471000.0,-164000.0,-66000.0
Change In Other Current Liabilities,-93000.0,-27000.0,27000.0,148000.0
Change In Other Current Assets,89000.0,0.0,30000.0,-149000.0
Change In Payable,455000.0,464000.0,-51000.0,106000.0
Change In Inventory,24000.0,-105000.0,-51000.0,0.0
Change In Receivables,17000.0,139000.0,-119000.0,-171000.0
Other Non Cash Items,7000.0,18000.0,10000.0,
Stock Based Compensation,,,0.0,161000.0
Deferred Tax,,,0.0,15000.0
Depreciation And Amortization,6000.0,33000.0,34000.0,0.0
Depreciation,6000.0,33000.0,34000.0,
Net Income From Continuing Operations,-1238000.0,-1687000.0,-2032000.0,-1156000.0
