,2024-11-30,2023-11-30,2022-11-30,2021-11-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.145028,0.182259,0.0,0.19
Normalized EBITDA,-1435000.0,-2011000.0,-1988000.0,-1132000.0
Net Income From Continuing Operation Net Minority Interest,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Reconciled Depreciation,6000.0,33000.0,34000.0,0.0
Reconciled Cost Of Revenue,190000.0,216000.0,67000.0,0.0
EBITDA,-1435000.0,-2011000.0,-1988000.0,-1132000.0
EBIT,-1441000.0,-2045000.0,-2022000.0,-1141000.0
Net Interest Income,-7000.0,-18000.0,-10000.0,0.0
Interest Expense,7000.0,18000.0,10000.0,0.0
Normalized Income,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Net Income From Continuing And Discontinued Operation,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Total Expenses,1509000.0,2324000.0,2197000.0,1147000.0
Rent Expense Supplemental,41000.0,56000.0,65000.0,22000.0
Total Operating Income As Reported,-1441000.0,-2045000.0,-2022000.0,-1141000.0
Diluted Average Shares,,99847978.0,42408348.0,42408348.0
Basic Average Shares,,99847978.0,42408348.0,42408348.0
Diluted EPS,,-0.0169,-0.0479,-0.0272
Basic EPS,,-0.0169,-0.0479,-0.0272
Diluted NI Availto Com Stockholders,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Net Income Common Stockholders,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Net Income Including Noncontrolling Interests,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Net Income Continuous Operations,-1238000.0,-1687000.0,-2032000.0,-1156000.0
Tax Provision,-210000.0,-376000.0,0.0,15000.0
Pretax Income,-1448000.0,-2063000.0,-2032000.0,-1141000.0
Net Non Operating Interest Income Expense,-7000.0,-18000.0,-10000.0,0.0
Interest Expense Non Operating,7000.0,18000.0,10000.0,0.0
Operating Income,-1441000.0,-2046000.0,-2022000.0,-1141000.0
Operating Expense,1319000.0,2108000.0,2130000.0,1147000.0
Depreciation And Amortization In Income Statement,6000.0,34000.0,34000.0,9000.0
Depreciation Income Statement,6000.0,34000.0,34000.0,9000.0
Research And Development,104000.0,505000.0,398000.0,142000.0
Selling General And Administration,762000.0,808000.0,812000.0,578000.0
Selling And Marketing Expense,5000.0,54000.0,153000.0,29000.0
General And Administrative Expense,757000.0,754000.0,659000.0,549000.0
Rent And Landing Fees,41000.0,56000.0,65000.0,22000.0
Gross Profit,-122000.0,62000.0,108000.0,6000.0
Cost Of Revenue,190000.0,216000.0,67000.0,0.0
Total Revenue,68000.0,278000.0,175000.0,6000.0
Operating Revenue,68000.0,278000.0,175000.0,6000.0
