Metric,Value
address1,101 Kings Road
city,Brentwood
zip,CM14 4DR
country,United Kingdom
phone,44 203 0393977
website,https://zenovagroup.com
industry,Specialty Chemicals
industryKey,specialty-chemicals
industryDisp,Specialty Chemicals
sector,Basic Materials
sectorKey,basic-materials
sectorDisp,Basic Materials
longBusinessSummary,"Zenova Group Plc develops, manufactures, and sale of fire-retardant systems in the United Kingdom, Europe, and internationally. The company's products include ZENOVA FX fire extinguisher, ZENOVA FP, a water-based paint that prevents the ignition and spread of fire, ZENOVA IP thermal insulation paint, ZENOVA IR thermal insulation render, ZENOVA WB wildfire barrier fluid, and ZENOVA FX 500 fire extinguisher. It serves personal and home, business and industry, property and construction, and infrastructure and environment sectors. Zenova Group Plc was founded in 2020 and is based in Brentwood, the United Kingdom."
fullTimeEmployees,8
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Thomas  Melchior', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2024, 'totalPay': 133000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Tony John Crawley', 'title': 'Sales Project Director', 'fiscalYear': 2024, 'totalPay': 177562, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,4
previousClose,0.23
open,0.24
dayLow,0.222
dayHigh,0.24
regularMarketPreviousClose,0.23
regularMarketOpen,0.24
regularMarketDayLow,0.222
regularMarketDayHigh,0.24
payoutRatio,0.0
beta,-0.517
forwardPE,0.00076923077
volume,279300
regularMarketVolume,279300
averageVolume,7742491
averageVolume10days,2634404
averageDailyVolume10Day,2634404
bid,0.22
ask,0.24
marketCap,552519
fiftyTwoWeekLow,0.17
fiftyTwoWeekHigh,1.8
priceToSalesTrailing12Months,8.125279
fiftyDayAverage,0.22016
twoHundredDayAverage,0.446495
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,GBp
tradeable,False
enterpriseValue,557542
profitMargins,0.0
floatShares,159764686
sharesOutstanding,240226000
heldPercentInsiders,0.23297001
heldPercentInstitutions,0.0
impliedSharesOutstanding,240226000
bookValue,0.011
priceToBook,20.909092
lastFiscalYearEnd,1732924800
nextFiscalYearEnd,1764460800
mostRecentQuarter,1732924800
netIncomeToCommon,-1238000
trailingEps,-0.01
forwardEps,2.99
enterpriseToRevenue,8.199
enterpriseToEbitda,-0.389
52WeekChange,-0.8516129
SandP52WeekChange,0.12677538
quoteType,EQUITY
currentPrice,0.23
recommendationKey,none
totalCash,36000
totalCashPerShare,0.0
ebitda,-1435000
totalDebt,17000
quickRatio,0.152
currentRatio,0.267
totalRevenue,68000
debtToEquity,1.135
revenuePerShare,0.001
returnOnAssets,-0.32773998
returnOnEquity,-0.69628996
grossProfits,-122000
freeCashflow,-392000
operatingCashflow,-740000
revenueGrowth,-0.912
grossMargins,-1.7941201
ebitdaMargins,0.0
operatingMargins,-56.93333
financialCurrency,GBP
symbol,ZED.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
fiftyDayAverageChange,0.009840012
fiftyDayAverageChangePercent,0.044694822
twoHundredDayAverageChange,-0.21649499
twoHundredDayAverageChangePercent,-0.48487663
sourceInterval,15
exchangeDataDelayedBy,15
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,1626937200000
regularMarketChange,0.0
regularMarketDayRange,0.222 - 0.24
fullExchangeName,LSE
averageDailyVolume3Month,7742491
fiftyTwoWeekLowChange,0.060000002
fiftyTwoWeekLowChangePercent,0.3529412
fiftyTwoWeekRange,0.17 - 1.8
fiftyTwoWeekHighChange,-1.5699999
fiftyTwoWeekHighChangePercent,-0.8722222
fiftyTwoWeekChangePercent,-85.16129
earningsTimestamp,1748602740
earningsTimestampStart,1756378740
earningsTimestampEnd,1756728000
isEarningsDateEstimate,True
epsTrailingTwelveMonths,-0.01
epsForward,2.99
shortName,ZENOVA GROUP PLC ORD GBP0.001
longName,Zenova Group Plc
corporateActions,[]
regularMarketTime,1751624360
exchange,LSE
messageBoardId,finmb_717671477
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,0.0
regularMarketPrice,0.23
marketState,CLOSED
trailingPegRatio,
