Symbol;Company_Name;Market_Cap;Price;Change_%;Sector
ATG;Auction Technology Group PLC ORD;576.31;499.00;4.39%;Technology Services
ALPH.L;Alpha Group International PLC ORD 0.2P;1,347.40;3,290.00;3.30%;Finance
RPI.L;Rasberry PI HOLDINGS PLC ORD 0.25P;909.05;482.60;2.68%;Electronic Technology
ELM;Elementis PLC ORD 5P;975.07;168.80;1.81%;Process Industries
TEP.L;Telecom Plus PLC ORD 5P;1,590.78;2,025.00;1.66%;Communications
PAY;Paypoint PLC ORD 1/3P;566.03;820.00;1.61%;Commercial Services
DSCV.L;Discoverie Group PLC ORD 5P;663.89;700.00;1.60%;Electronic Technology
BYIT.L;Bytes Technology Group PLC ORD GBP0.01;848.66;565.20;1.54%;Technology Services
GRG.L;Greggs PLC ORD 2P;1,738.35;1,722.00;1.29%;Consumer Non-Durables
SCT.L;Softcat PLC ORD 0.0005;3,271.20;1,557.00;1.28%;Technology Services
MTRO;Metro Bank Holdings PLC ORD 0.0001P;855.51;128.40;1.26%;Finance
BCG;Baltic Classifieds Group PLC ORD GBP0.01;1,569.30;327.50;1.08%;Technology Services
HTWS.L;Helios Towers PLC ORD 1P;1,285.60;123.00;0.99%;Communications
DRX;Drax Group PLC ORD 11 16/29P;2,391.02;689.50;0.88%;Utilities
BPT;Bridgepoint Group PLC ORD GBP0.0005;2,052.52;323.80;0.75%;Finance
WKP.L;Workspace Group PLC ORD GBP1;752.90;394.00;0.64%;Finance
BRBY.L;Burberry Group PLC ORD 0.05P;4,507.67;1,263.00;0.64%;Consumer Non-Durables
RNK.L;Rank Group PLC ORD 13 8/9P;643.62;138.20;0.58%;Consumer Services
GRN;Greencoat UK Wind PLC ORD1P;2,704.73;122.80;0.57%;Utilities
SXS.L;Spectris PLC ORD 5P;3,972.43;4,018.00;0.45%;Electronic Technology
