Symbol;Company_Name;Market_Cap;Price;Change_%;Sector
VIS;Visum Technologies PLC;117.34K GBP;0.2970 GBX;+10.00%;Retail trade
TECH;TechFinancials, Inc.;158.51K GBP;0.2000 GBX;0.00%;Technology services
VOX;VOX VALOR CAPITAL LIMITED ORD;252K GBP;0.175 GBX;0.00%;Finance
NTVO.L;NATIVO RESOURCES PLC ORD GBP0.001;300.31K GBP;0.2850 GBX;-12.31%;Energy minerals
TRAF.L;TRAFALGAR PROPERTY GROUP ORD GBP0.01;329.76K GBP;0.0325 GBX;-13.33%;Finance
CRV.L;CRAVEN HOUSE CAPITAL PLC ORD;353.86K GBP;0.125 USD;0.00%;Finance
PACS;PACSCO LIMITED ORD GBP0.10;393.98K GBP;0.548 GBX;0.00%;Process industries
ORNT;ORIENT TELECOMS PLC ORD GB...;400K GBP;4.00 GBX;0.00%;Communications
ICON;ICONIC LABS PLC ORD GBP0.0001;416.52K GBP;2.76 GBX;-8.33%;Commercial services
AEG;ACTIVE ENERGY GROUP PLC ORD GB...;445.12K GBP;0.300 GBX;+9.09%;Process industries
PIP.L;PIPEHAWK ORD GBP0.01;499.3K GBP;1.38 GBX;0.00%;Electronic technology
COR;CORPUS RESOURCES PLC ORD GB...;532.34K GBP;0.0166 GBX;0.00%;Finance
CRTM.L;CRITICAL METALS PLC ORD GBP...;539.12K GBP;0.800 GBX;0.00%;Finance
ZED.L;ZENOVA GROUP PLC ORD GBP0...;552.52K GBP;0.230 GBX;0.00%;Process industries
SIV.L;SIVOTA PLC ORD GBP0.01;566.33K GBP;4.50 GBX;0.00%;Finance
EVST.L;EVEREST GLOBAL PLC ORD GBP...;580.42K GBP;0.750 GBX;0.00%;Retail trade
PSY;Shortwave Life Sciences Plc;615.44K GBP;0.1775 GBX;+47.92%;Finance
GEMR.L;GEM RESOURCES PLC ORD GBP0...;617.32K GBP;0.200 GBX;0.00%;Non-energy minerals
ASBE.L;ASSOCIATED BRITISH ENGINEERIN...;717.15K GBP;35.0 GBX;0.00%;Producer manufacturing
WTE.L;WESTMOUNT ENERGY LTD ORD GB...;720.26K GBP;0.500 GBX;0.00%;Finance
